run,f1_all,precision_all,recall_all,mcc_all,auc_all,f1_peptides,precision_peptides,recall_peptides,mcc_peptides,auc_peptides,f1_propeptides,precision_propeptides,recall_propeptides,mcc_propeptides,auc_propeptides,test_drift,test_mcc_auc_trusted,homo_f1_all,homo_precision_all,homo_recall_all,homo_mcc_all,homo_auc_all,homo_f1_peptides,homo_precision_peptides,homo_recall_peptides,homo_mcc_peptides,homo_auc_peptides,homo_f1_propeptides,homo_precision_propeptides,homo_recall_propeptides,homo_mcc_propeptides,homo_auc_propeptides,homo_drift,homo_mcc_auc_trusted
esm2_aho_emission_fusion,0.615217,0.685562,0.557965,0.736634,0.645742,0.593567,0.675916,0.529105,0.681133,0.821845,0.632653,0.693035,0.581949,0.735131,0.411149,0.000000,True,0.429530,0.500000,0.376471,0.688249,0.559326,0.339623,0.428571,0.281250,0.576989,0.839770,0.479167,0.534884,0.433962,0.726843,0.366225,0.000000,True
esm2_aho_emission_fusion_h32,0.596175,0.674291,0.534279,0.732985,0.779226,0.594877,0.656545,0.543799,0.672661,0.856857,0.597296,0.690341,0.526354,0.720558,0.625922,0.000000,True,0.537931,0.661017,0.453488,0.704155,0.663092,0.377358,0.500000,0.303030,0.598777,0.876919,0.630435,0.743590,0.547170,0.742052,0.507068,0.000000,True
esm2_aho_mid_fusion_raw_m64,0.604754,0.685287,0.541158,0.707381,0.719280,0.612388,0.722877,0.531196,0.662767,0.839449,0.598741,0.657736,0.549458,0.707747,0.530438,0.000000,True,0.482759,0.593220,0.406977,0.728016,0.586432,0.352941,0.500000,0.272727,0.597009,0.878153,0.553191,0.634146,0.490566,0.745005,0.386637,0.000000,True
esm2_aho_mid_fusion_raw_m64_pep_only,0.580631,0.664646,0.515472,0.695716,0.615568,0.583630,0.718398,0.491438,0.650259,0.827499,0.578332,0.628281,0.535740,0.703953,0.356605,0.000000,True,0.446043,0.584906,0.360465,0.668420,0.542998,0.266667,0.500000,0.181818,0.581460,0.848573,0.531915,0.609756,0.471698,0.686270,0.333350,0.000000,True
esm2_aho_state_bias_pep_boundary_010,0.591891,0.670829,0.529574,0.734516,0.759678,0.581836,0.659692,0.520417,0.664593,0.851904,0.600242,0.680073,0.537184,0.735815,0.594527,0.000000,True,0.489796,0.590164,0.418605,0.704448,0.629585,0.321429,0.391304,0.272727,0.579418,0.887798,0.593407,0.710526,0.509434,0.739835,0.449835,0.000000,True
esm2_aho_transition_bias_sparse_trainable_zero,0.557701,0.628897,0.500985,N/A,N/A,0.543364,0.606417,0.492188,N/A,N/A,0.569810,0.648250,0.508303,N/A,N/A,0.000000,False,0.411348,0.527273,0.337209,N/A,N/A,0.264151,0.350000,0.212121,N/A,N/A,0.500000,0.628571,0.415094,N/A,N/A,0.000000,False
esm2_aho_tribranch,0.594346,0.633482,0.559763,0.738490,0.651223,0.568276,0.602927,0.537391,0.672301,0.836088,0.616154,0.659259,0.578339,0.707779,0.412415,0.000000,True,0.490323,0.542857,0.447059,0.687450,0.558906,0.400000,0.393939,0.406250,0.593320,0.861532,0.555556,0.675676,0.471698,0.724786,0.355180,0.000000,True
esm2_bond_loss_soft_l005_w5_tau15,0.559036,0.628571,0.503353,N/A,N/A,0.543021,0.602972,0.493913,N/A,N/A,0.572584,0.650735,0.511191,N/A,N/A,0.000000,False,0.500000,0.620690,0.418605,N/A,N/A,0.285714,0.437500,0.212121,N/A,N/A,0.610526,0.690476,0.547170,N/A,N/A,0.000000,False
esm2_boundary_bond_l002_w5_tau15,0.606180,0.681281,0.545993,0.739225,0.688763,0.580876,0.595784,0.566696,0.702697,0.793335,0.630538,0.780618,0.528860,0.673726,0.519864,0.000000,True,0.486486,0.571429,0.423529,0.682137,0.656971,0.295082,0.310345,0.281250,0.540430,0.821958,0.620690,0.794118,0.509434,0.721130,0.533438,0.000000,True
esm2_boundary_only_scale10,0.596981,0.697002,0.522065,0.739462,0.697072,0.590629,0.649324,0.541667,0.664214,0.818397,0.602752,0.745745,0.505772,0.697027,0.512819,0.000000,True,0.474820,0.622642,0.383721,0.705029,0.614492,0.301887,0.400000,0.242424,0.527521,0.828680,0.581395,0.757576,0.471698,0.730192,0.458200,0.000000,True
