run,task,lenbin,n,recall
esm2_aho_emission_fusion,peptides,11-20,231,0.6883116883116883
esm2_aho_emission_fusion,peptides,21-30,466,0.5901287553648069
esm2_aho_emission_fusion,peptides,31-50,296,0.34121621621621623
esm2_aho_emission_fusion,peptides,5,18,0.3888888888888889
esm2_aho_emission_fusion,peptides,6-10,130,0.7461538461538462
esm2_aho_emission_fusion,propeptides,11-20,263,0.5627376425855514
esm2_aho_emission_fusion,propeptides,21-30,523,0.7820267686424475
esm2_aho_emission_fusion,propeptides,31-50,282,0.574468085106383
esm2_aho_emission_fusion,propeptides,5,28,0.39285714285714285
esm2_aho_emission_fusion,propeptides,6-10,289,0.32525951557093424
esm2_aho_emission_fusion_h32,peptides,11-20,231,0.683982683982684
esm2_aho_emission_fusion_h32,peptides,21-30,466,0.6072961373390557
esm2_aho_emission_fusion_h32,peptides,31-50,296,0.35135135135135137
esm2_aho_emission_fusion_h32,peptides,5,18,0.3333333333333333
esm2_aho_emission_fusion_h32,peptides,6-10,130,0.7615384615384615
esm2_aho_emission_fusion_h32,propeptides,11-20,263,0.5399239543726235
esm2_aho_emission_fusion_h32,propeptides,21-30,523,0.7915869980879541
esm2_aho_emission_fusion_h32,propeptides,31-50,282,0.4326241134751773
esm2_aho_emission_fusion_h32,propeptides,5,28,0.35714285714285715
esm2_aho_emission_fusion_h32,propeptides,6-10,289,0.22491349480968859
esm2_aho_mid_fusion_raw_m64,peptides,11-20,231,0.696969696969697
esm2_aho_mid_fusion_raw_m64,peptides,21-30,466,0.5793991416309013
esm2_aho_mid_fusion_raw_m64,peptides,31-50,296,0.3344594594594595
esm2_aho_mid_fusion_raw_m64,peptides,5,18,0.3333333333333333
esm2_aho_mid_fusion_raw_m64,peptides,6-10,130,0.7538461538461538
esm2_aho_mid_fusion_raw_m64,propeptides,11-20,263,0.5893536121673004
esm2_aho_mid_fusion_raw_m64,propeptides,21-30,523,0.8011472275334608
esm2_aho_mid_fusion_raw_m64,propeptides,31-50,282,0.41134751773049644
esm2_aho_mid_fusion_raw_m64,propeptides,5,28,0.32142857142857145
esm2_aho_mid_fusion_raw_m64,propeptides,6-10,289,0.28719723183391005
esm2_telescoping_segmental,peptides,11-20,231,0.7186147186147186
esm2_telescoping_segmental,peptides,21-30,466,0.6223175965665236
esm2_telescoping_segmental,peptides,31-50,296,0.3716216216216216
esm2_telescoping_segmental,peptides,5,18,0.3333333333333333
esm2_telescoping_segmental,peptides,6-10,130,0.7692307692307693
esm2_telescoping_segmental,propeptides,11-20,263,0.6311787072243346
esm2_telescoping_segmental,propeptides,21-30,523,0.7782026768642447
esm2_telescoping_segmental,propeptides,31-50,282,0.4716312056737589
esm2_telescoping_segmental,propeptides,5,28,0.32142857142857145
esm2_telescoping_segmental,propeptides,6-10,289,0.3494809688581315
train_run_esm2,peptides,11-20,231,0.7056277056277056
train_run_esm2,peptides,21-30,466,0.6180257510729614
train_run_esm2,peptides,31-50,296,0.40540540540540543
train_run_esm2,peptides,5,18,0.3888888888888889
train_run_esm2,peptides,6-10,130,0.7307692307692307
train_run_esm2,propeptides,11-20,263,0.5855513307984791
train_run_esm2,propeptides,21-30,523,0.8107074569789675
train_run_esm2,propeptides,31-50,282,0.4858156028368794
train_run_esm2,propeptides,5,28,0.39285714285714285
train_run_esm2,propeptides,6-10,289,0.3737024221453287
train_run_esm2+3di_proj,peptides,11-20,231,0.7056277056277056
train_run_esm2+3di_proj,peptides,21-30,466,0.6201716738197425
train_run_esm2+3di_proj,peptides,31-50,296,0.44932432432432434
train_run_esm2+3di_proj,peptides,5,18,0.4444444444444444
train_run_esm2+3di_proj,peptides,6-10,130,0.7384615384615385
train_run_esm2+3di_proj,propeptides,11-20,263,0.6121673003802282
train_run_esm2+3di_proj,propeptides,21-30,523,0.7934990439770554
train_run_esm2+3di_proj,propeptides,31-50,282,0.5035460992907801
train_run_esm2+3di_proj,propeptides,5,28,0.21428571428571427
train_run_esm2+3di_proj,propeptides,6-10,289,0.2041522491349481
