task,length,start_err,stop_err
peptides,35,0,0
peptides,47,39,0
peptides,10,2,0
peptides,14,-11,0
propeptides,16,1,0
propeptides,8,0,2
propeptides,8,0,2
peptides,26,2,0
peptides,21,0,0
peptides,34,2,0
propeptides,23,0,2
peptides,30,1,0
peptides,21,0,0
propeptides,30,0,0
propeptides,29,11,0
propeptides,26,0,0
propeptides,27,-2,-2
propeptides,22,0,0
propeptides,34,0,-6
peptides,15,5,0
peptides,15,5,0
propeptides,26,1,0
propeptides,24,1,0
propeptides,24,1,0
propeptides,30,4,0
propeptides,26,-2,0
propeptides,22,-5,0
propeptides,22,-5,0
propeptides,24,-1,0
propeptides,27,0,0
propeptides,29,0,0
propeptides,46,0,1
propeptides,25,-1,1
peptides,13,0,0
propeptides,32,0,0
peptides,34,0,-2
propeptides,35,0,0
peptides,34,0,0
propeptides,27,0,0
peptides,36,0,0
propeptides,30,0,0
peptides,28,-2,0
propeptides,31,0,-1
peptides,31,0,0
propeptides,27,0,2
propeptides,29,0,0
propeptides,24,0,0
peptides,25,0,7
propeptides,21,9,0
propeptides,29,-3,0
peptides,31,0,0
peptides,30,0,1
propeptides,23,0,0
peptides,14,0,0
peptides,13,-1,0
propeptides,39,0,0
peptides,17,0,0
propeptides,29,-1,0
propeptides,21,-1,0
propeptides,50,0,2
propeptides,28,4,0
propeptides,26,0,0
propeptides,26,0,0
propeptides,26,0,0
propeptides,26,0,0
peptides,36,2,-5
propeptides,20,0,1
peptides,25,0,0
propeptides,28,0,1
propeptides,17,0,0
peptides,17,-17,-16
propeptides,23,0,0
peptides,37,0,0
propeptides,26,0,0
propeptides,23,0,0
peptides,37,0,0
propeptides,19,0,0
propeptides,23,0,2
peptides,37,0,0
propeptides,19,0,0
propeptides,18,0,0
peptides,37,0,0
propeptides,19,0,0
propeptides,11,0,46
propeptides,26,1,0
peptides,14,-10,4
propeptides,27,1,0
propeptides,6,0,2
propeptides,18,0,2
peptides,36,0,0
propeptides,13,0,2
peptides,37,0,0
propeptides,13,0,2
peptides,11,1,0
peptides,10,0,0
propeptides,16,-14,0
peptides,10,0,0
propeptides,38,0,0
propeptides,41,0,0
peptides,5,0,44
peptides,5,-21,23
peptides,5,-39,5
propeptides,32,0,-2
peptides,29,0,0
propeptides,29,0,1
peptides,27,0,0
propeptides,26,0,2
peptides,32,29,22
peptides,22,-3,0
propeptides,29,8,0
propeptides,30,-1,0
propeptides,26,2,0
peptides,42,0,0
propeptides,38,0,0
propeptides,13,2,0
propeptides,13,0,0
peptides,35,0,0
peptides,21,0,0
propeptides,24,0,-1
peptides,15,3,0
propeptides,20,0,-1
peptides,39,0,0
peptides,39,0,0
peptides,39,0,0
peptides,39,0,0
peptides,39,0,0
propeptides,18,0,-4
peptides,12,0,6
propeptides,24,0,0
propeptides,5,0,0
propeptides,6,0,-1
propeptides,33,2,0
peptides,30,0,0
peptides,30,0,0
peptides,21,0,0
propeptides,31,0,2
peptides,30,29,21
peptides,21,-1,0
peptides,30,29,21
peptides,21,-1,0
peptides,30,29,21
peptides,21,-1,0
peptides,30,0,2
peptides,30,0,2
propeptides,44,0,0
propeptides,14,0,0
propeptides,29,0,0
propeptides,26,0,0
propeptides,16,0,2
propeptides,12,0,2
propeptides,17,0,2
peptides,26,-1,0
peptides,21,0,0
propeptides,25,0,0
propeptides,24,0,0
peptides,21,0,0
peptides,28,-4,0
peptides,24,0,1
propeptides,27,4,-2
peptides,29,0,0
peptides,29,0,0
peptides,29,0,0
propeptides,44,0,0
propeptides,29,0,0
peptides,27,1,-1
peptides,20,0,0
peptides,13,0,1
peptides,39,0,0
peptides,39,0,0
peptides,39,0,0
peptides,39,0,0
peptides,39,0,0
peptides,39,0,0
peptides,39,0,0
peptides,25,0,0
propeptides,40,0,0
peptides,21,-5,0
propeptides,40,0,-7
peptides,25,0,0
propeptides,27,-3,5
peptides,30,29,21
peptides,21,-1,0
peptides,21,0,0
peptides,21,0,0
peptides,21,0,0
peptides,29,0,0
propeptides,47,-6,0
propeptides,26,-1,0
propeptides,25,0,0
propeptides,26,0,0
peptides,7,0,0
propeptides,47,0,0
peptides,10,-6,0
propeptides,34,0,0
propeptides,24,0,0
peptides,30,0,0
peptides,21,0,0
propeptides,31,0,0
propeptides,17,0,0
propeptides,23,-1,0
peptides,26,0,0
peptides,21,0,0
propeptides,25,0,0
propeptides,15,0,0
peptides,39,0,0
peptides,39,0,0
peptides,39,0,0
peptides,42,0,0
peptides,39,0,0
peptides,39,0,0
peptides,25,0,0
propeptides,31,0,5
peptides,25,0,0
propeptides,30,0,5
peptides,42,0,0
propeptides,38,0,0
propeptides,30,0,0
peptides,30,2,0
peptides,21,0,0
propeptides,28,0,0
peptides,29,0,-1
peptides,21,0,0
propeptides,38,0,2
peptides,28,0,0
peptides,27,0,0
propeptides,31,0,0
peptides,42,0,-3
propeptides,23,3,0
propeptides,11,-1,0
peptides,25,0,0
propeptides,30,0,5
propeptides,30,0,0
propeptides,42,0,0
propeptides,42,0,0
peptides,32,0,0
propeptides,27,2,0
propeptides,25,3,0
propeptides,25,-8,0
propeptides,35,0,0
propeptides,15,-2,35
propeptides,23,-40,-11
peptides,43,-2,4
propeptides,27,1,0
propeptides,22,0,0
propeptides,26,0,0
propeptides,17,0,0
propeptides,34,0,0
propeptides,35,0,0
propeptides,35,0,0
propeptides,38,0,0
propeptides,19,-1,1
propeptides,7,1,0
propeptides,31,-4,-3
