organism,train_peptides,test_peptides,test_recall,test_errors
Acipenser gueldenstaedtii,0,2,0.0,2
Isometrus maculatus,0,1,1.0,0
Katsuwonus pelamis,0,6,0.0,6
Larimichthys crocea,0,1,1.0,0
Leucoraja erinacea,0,2,0.0,2
Leymus arenarius,0,1,1.0,0
Lissachatina fulica,0,9,1.0,0
Lophius piscatorius,0,2,0.0,2
Loxosceles gaucho,0,1,0.0,1
Lucilia sericata,0,1,0.0,1
Lychas mucronatus,0,6,0.6666666666666666,2
Macrothele gigas,0,1,0.0,1
Macrovipera lebetina,0,1,1.0,0
Melicytus ramiflorus,0,2,0.5,1
Mesobuthus eupeus,0,2,0.5,1
Mesomexovis subcristatus,0,2,1.0,0
Moringa oleifera,0,2,0.0,2
Morone chrysops,0,1,1.0,0
Impatiens balsamina,0,6,0.5,3
Morone chrysops x Morone saxatilis,0,1,0.0,1
Ictidomys tridecemlineatus,0,2,1.0,0
Hypanus sabinus,0,1,1.0,0
Conus moncuri,0,1,1.0,0
Cricetulus longicaudatus,0,2,1.0,0
Crotalus atrox,0,2,0.0,2
Didelphis virginiana,0,3,0.0,3
Diploptera punctata,0,13,0.9230769230769231,1
Drosophila simulans,0,1,1.0,0
Echinochloa crus-galli,0,3,0.0,3
Elephas maximus,0,2,0.0,2
Eumenes pomiformis,0,1,0.0,1
Viola odorata,0,7,0.7142857142857143,2
Hadronyche modesta,0,1,1.0,0
Hadronyche versuta,0,1,1.0,0
Helicoverpa armigera,0,9,1.0,0
Heteractis crispa,0,2,0.0,2
Hexophthalma dolichocephala,0,1,1.0,0
Huso dauricus,0,4,0.0,4
Hydrolagus colliei,0,2,0.0,2
Hystrix cristata,0,2,0.0,2
Myocastor coypus,0,2,0.0,2
Myoxocephalus scorpius,0,2,0.0,2
Mytilus galloprovincialis,0,2,0.0,2
Rodentia sp.,0,3,0.6666666666666666,1
Samia cynthia,0,10,1.0,0
Sarcophaga peregrina,0,1,0.0,1
Schistocerca nitens,0,4,1.0,0
Scorpiops tibetanus,0,2,1.0,0
Seriola quinqueradiata,0,2,0.0,2
Struthio camelus,0,2,0.0,2
Thunnus orientalis,0,4,0.0,4
Thunnus thynnus,0,2,0.0,2
Tityus costatus,0,3,1.0,0
Tityus stigmurus,0,1,1.0,0
Trachemys dorbigni,0,2,0.0,2
Trachemys scripta,0,2,0.0,2
Triticum kiharae,0,1,0.0,1
Urticina grebelnyi,0,4,0.0,4
Vaejovis mexicanus smithi,0,2,1.0,0
Viola arvensis,0,2,1.0,0
Ptyas dhumnades,0,2,0.0,2
Pterois volitans,0,1,0.0,1
Pseudopleuronectes americanus,0,4,1.0,0
Pseudacanthotermes spiniger,0,1,1.0,0
Myxine glutinosa,0,2,1.0,0
Notomys alexis,0,2,0.0,2
Oldenlandia affinis,0,7,0.7142857142857143,2
Oncorhynchus gorbuscha,0,2,0.0,2
Opisthacanthus madagascariensis,0,2,1.0,0
Oreochromis niloticus,0,2,1.0,0
Oryctes rhinoceros,0,1,0.0,1
Pandinus cavimanus,0,1,1.0,0
Conus kinoshitai,0,4,0.5,2
Pantodon buchholzi,0,2,1.0,0
Petunia hybrida,0,2,0.5,1
Physeter macrocephalus,0,2,0.0,2
Piaractus mesopotamicus,0,2,0.0,2
Platax teira,0,2,0.0,2
Platichthys flesus,0,2,0.0,2
Polypterus senegalus,0,2,0.0,2
Proechimys guairae,0,2,0.0,2
Psammomys obesus,0,2,1.0,0
Periplaneta americana,0,1,1.0,0
Conus inscriptus,0,1,1.0,0
Gadus morhua subsp. callarias,0,2,0.0,2
Blaberus discoidalis,0,2,1.0,0
Anguilla rostrata,0,2,0.0,2
Bacillus velezensis,0,1,1.0,0
Bacillus sp.,0,1,0.0,1
Anser anser anser,0,2,0.0,2
Bacillus pumilus,0,1,1.0,0
Antheopsis maculata,0,7,0.8571428571428571,1
Conus capitaneus,0,1,1.0,0
Aotus trivirgatus,0,2,1.0,0
Caranx sexfasciatus,0,2,0.0,2
Balaenoptera acutorostrata,0,2,0.0,2
Cavia cutleri,0,1,0.0,1
Conus aurisiacus,0,1,1.0,0
Aplysia parvula,0,5,0.4,3
Atractosteus spatula,0,2,0.0,2
Chartergellus communis,0,1,0.0,1
Atrax robustus,0,5,1.0,0
Chassalia chartacea,0,4,0.75,1
Chimaera monstrosa,0,2,0.0,2
Chinchilla chinchilla,0,2,0.5,1
Clarias macrocephalus,0,2,0.5,1
Chaerilus tryznai,0,4,1.0,0
Clavibacter michiganensis subsp. michiganensis,0,1,1.0,0
Anemonia viridis,0,8,1.0,0
Burkholderia thailandensis,0,1,0.0,1
Acomys cahirinus,0,2,0.0,2
Conus generalis,0,1,0.0,1
Batrachoididae sp.,0,2,0.0,2
Actinoplanes garbadinensis,0,1,1.0,0
Balaenoptera physalus,0,2,0.0,2
Conus floridulus,0,8,0.0,8
Balaenoptera edeni,0,2,0.0,2
Agrius convolvuli,0,4,1.0,0
Amia calva,0,2,0.0,2
Buthus occitanus israelis,0,1,1.0,0
Conasprella memiae,0,2,0.0,2
Cairina moschata,0,2,0.0,2
Anas platyrhynchos,0,2,0.5,1
Balaenoptera borealis,0,2,0.0,2
Androctonus amoreuxi,0,2,1.0,0
Callorhinchus milii,0,2,1.0,0
Androctonus crassicauda,0,2,1.0,0
Conus figulinus,0,1,1.0,0
Manica rubida,1,1,0.0,1
Chaerilus tricostatus,1,9,0.8888888888888888,1
Luffa aegyptiaca,1,1,1.0,0
Nicotiana tabacum,1,4,0.25,3
Pandinus imperator,1,3,1.0,0
Meleagris gallopavo,1,4,0.25,3
Caenorhabditis briggsae,1,3,1.0,0
Camelus dromedarius,1,2,0.0,2
Hoffmannihadrurus gertschi,1,2,1.0,0
Squalus acanthias,1,4,0.0,4
Urodacus yaschenkoi,1,3,1.0,0
Dinoponera quadriceps,1,1,1.0,0
Tityus obscurus,1,3,0.6666666666666666,1
Saimiri sciureus,1,2,0.0,2
Apis cerana cerana,1,2,1.0,0
Conus catus,1,2,1.0,0
Alligator mississippiensis,1,2,0.0,2
Procambarus clarkii,1,29,0.9310344827586207,2
Conus achatinus,1,5,1.0,0
Thalassophryne nattereri,1,1,0.0,1
Conus tulipa,1,8,0.5,4
Conus betulinus,2,2,1.0,0
Opisthacanthus cayaporum,2,4,1.0,0
Tetramorium bicarinatum,2,1,1.0,0
Conus vexillum,2,8,0.875,1
Bacillus licheniformis,2,2,1.0,0
Conus gloriamaris,2,2,1.0,0
Conus miles,2,4,1.0,0
Ustilago maydis,2,9,0.0,9
Lampetra fluviatilis,2,2,0.0,2
Conus magus,2,3,1.0,0
Conus ammiralis,2,3,0.6666666666666666,1
Chlorocebus aethiops,2,2,1.0,0
Oncorhynchus kisutch,2,2,0.0,2
Oncorhynchus nerka,2,2,0.0,2
Callithrix jacchus,2,2,0.5,1
Conus stercusmuscarum,3,1,1.0,0
Morone saxatilis,3,1,1.0,0
Pagrus major,3,2,0.0,2
Pongo pygmaeus,3,2,1.0,0
Manduca sexta,3,1,1.0,0
Salmo salar,3,1,1.0,0
Schistocerca gregaria,3,4,0.75,1
Carcinus maenas,3,1,1.0,0
Heterometrus spinifer,4,2,1.0,0
Penaeus monodon,4,1,1.0,0
Heterometrus petersii,4,6,1.0,0
Verasper moseri,4,2,1.0,0
Tityus serrulatus,4,3,1.0,0
