run,protein_id,organism,task,kind,length,matched
esm2_telescoping_segmental,Q99109,Ustilago maydis,peptides,true,34,False
esm2_telescoping_segmental,Q99109,Ustilago maydis,peptides,true,36,False
esm2_telescoping_segmental,Q99109,Ustilago maydis,peptides,true,35,False
esm2_telescoping_segmental,Q99109,Ustilago maydis,peptides,true,34,False
esm2_telescoping_segmental,Q99109,Ustilago maydis,peptides,true,35,False
esm2_telescoping_segmental,Q99109,Ustilago maydis,peptides,true,45,False
esm2_telescoping_segmental,Q99109,Ustilago maydis,peptides,true,34,False
esm2_telescoping_segmental,Q99109,Ustilago maydis,peptides,true,35,False
esm2_telescoping_segmental,Q99109,Ustilago maydis,peptides,true,35,False
esm2_telescoping_segmental,Q99109,Ustilago maydis,peptides,fp_pred,5,False
esm2_telescoping_segmental,Q86UU9,Homo sapiens,peptides,true,47,True
esm2_telescoping_segmental,Q86UU9,Homo sapiens,peptides,true,14,True
esm2_telescoping_segmental,Q86UU9,Homo sapiens,propeptides,true,9,True
esm2_telescoping_segmental,Q86UU9,Homo sapiens,propeptides,true,16,True
esm2_telescoping_segmental,G0W2H8,Bunodosoma granuliferum,propeptides,true,8,True
esm2_telescoping_segmental,G0W2H9,Bunodosoma granuliferum,propeptides,true,8,True
esm2_telescoping_segmental,P26738,Bombyx mori,peptides,true,26,True
esm2_telescoping_segmental,P26738,Bombyx mori,peptides,true,21,True
esm2_telescoping_segmental,P26738,Bombyx mori,propeptides,true,19,True
esm2_telescoping_segmental,D2DGD4,Conus caracteristicus,peptides,true,34,True
esm2_telescoping_segmental,D2DGD4,Conus caracteristicus,propeptides,true,23,True
esm2_telescoping_segmental,P01327,Chinchilla chinchilla,peptides,true,30,True
esm2_telescoping_segmental,P01327,Chinchilla chinchilla,peptides,true,21,True
esm2_telescoping_segmental,P01327,Chinchilla chinchilla,propeptides,true,31,False
esm2_telescoping_segmental,Q86YL7,Homo sapiens,peptides,true,12,False
esm2_telescoping_segmental,P53872,Saccharomyces cerevisiae,propeptides,true,30,True
esm2_telescoping_segmental,Q5A5K7,Candida albicans,propeptides,true,29,False
esm2_telescoping_segmental,Q5A5K7,Candida albicans,propeptides,fp_pred,6,False
esm2_telescoping_segmental,Q5A5K7,Candida albicans,propeptides,fp_pred,18,False
esm2_telescoping_segmental,Q59Y11,Candida albicans,propeptides,true,26,True
esm2_telescoping_segmental,P52718,Aspergillus niger,propeptides,true,27,True
esm2_telescoping_segmental,Q5ABW2,Candida albicans,propeptides,true,22,True
esm2_telescoping_segmental,P13696,Bos taurus,peptides,true,11,False
esm2_telescoping_segmental,Q3YIX4,Canis lupus familiaris,peptides,true,12,False
esm2_telescoping_segmental,Q3YIX4,Canis lupus familiaris,propeptides,fp_pred,6,False
esm2_telescoping_segmental,P30086,Homo sapiens,peptides,true,11,False
esm2_telescoping_segmental,P30086,Homo sapiens,propeptides,fp_pred,7,False
esm2_telescoping_segmental,P48737,Macaca fascicularis,peptides,true,12,False
esm2_telescoping_segmental,P48737,Macaca fascicularis,propeptides,fp_pred,7,False
esm2_telescoping_segmental,P70296,Mus musculus,peptides,true,11,False
esm2_telescoping_segmental,P70296,Mus musculus,propeptides,fp_pred,7,False
esm2_telescoping_segmental,Q5R4R0,Pongo abelii,peptides,true,12,False
esm2_telescoping_segmental,Q5R4R0,Pongo abelii,propeptides,fp_pred,7,False
esm2_telescoping_segmental,Q8MK67,Oryctolagus cuniculus,peptides,true,12,False
esm2_telescoping_segmental,Q8MK67,Oryctolagus cuniculus,propeptides,fp_pred,7,False
esm2_telescoping_segmental,P31044,Rattus norvegicus,peptides,true,11,False
esm2_telescoping_segmental,P31044,Rattus norvegicus,propeptides,fp_pred,7,False
esm2_telescoping_segmental,P52719,Aspergillus phoenicis,propeptides,true,34,False
esm2_telescoping_segmental,P52719,Aspergillus phoenicis,propeptides,fp_pred,26,False
esm2_telescoping_segmental,Q9FZ54,Arabidopsis thaliana,peptides,true,15,False
esm2_telescoping_segmental,Q9FZ54,Arabidopsis thaliana,peptides,fp_pred,12,False
esm2_telescoping_segmental,Q9FZ54,Arabidopsis thaliana,peptides,fp_pred,11,False
esm2_telescoping_segmental,Q9FZ54,Arabidopsis thaliana,propeptides,fp_pred,20,False
esm2_telescoping_segmental,Q9FZ54,Arabidopsis thaliana,propeptides,fp_pred,23,False
esm2_telescoping_segmental,Q52K95,Arabidopsis thaliana,peptides,true,15,True
esm2_telescoping_segmental,Q52K95,Arabidopsis thaliana,propeptides,fp_pred,17,False
esm2_telescoping_segmental,P69560,Spinacia oleracea,propeptides,true,9,False
esm2_telescoping_segmental,P69560,Spinacia oleracea,propeptides,fp_pred,11,False
esm2_telescoping_segmental,P32036,Cuscuta reflexa,propeptides,true,9,False
esm2_telescoping_segmental,P32036,Cuscuta reflexa,propeptides,fp_pred,12,False
esm2_telescoping_segmental,O18495,Styela clava,peptides,true,32,False
esm2_telescoping_segmental,O18495,Styela clava,propeptides,true,26,False
esm2_telescoping_segmental,F8S0Z7,Crotalus adamanteus,propeptides,true,24,True
esm2_telescoping_segmental,B6EWW8,Gloydius brevicaudus,propeptides,true,24,True
esm2_telescoping_segmental,Q5AJC0,Candida albicans,propeptides,true,30,False
esm2_telescoping_segmental,Q5AJC0,Candida albicans,propeptides,fp_pred,26,False
esm2_telescoping_segmental,P07911,Homo sapiens,propeptides,true,26,True
esm2_telescoping_segmental,P48733,Bos taurus,propeptides,true,22,False
esm2_telescoping_segmental,P48733,Bos taurus,propeptides,fp_pred,27,False
esm2_telescoping_segmental,Q862Z3,Canis lupus familiaris,propeptides,true,22,False
esm2_telescoping_segmental,Q862Z3,Canis lupus familiaris,propeptides,fp_pred,26,False
esm2_telescoping_segmental,Q91X17,Mus musculus,propeptides,true,24,True
esm2_telescoping_segmental,Q5R5C1,Pongo abelii,propeptides,true,27,True
esm2_telescoping_segmental,P27590,Rattus norvegicus,propeptides,true,29,True
esm2_telescoping_segmental,Q5USN7,Viola odorata,peptides,true,29,True
esm2_telescoping_segmental,Q5USN7,Viola odorata,peptides,true,29,True
esm2_telescoping_segmental,Q5USN7,Viola odorata,peptides,true,29,True
esm2_telescoping_segmental,Q5USN7,Viola odorata,propeptides,true,46,True
esm2_telescoping_segmental,Q5USN7,Viola odorata,propeptides,true,25,True
esm2_telescoping_segmental,Q5USN7,Viola odorata,propeptides,true,25,True
esm2_telescoping_segmental,Q5USN7,Viola odorata,propeptides,fp_pred,6,False
esm2_telescoping_segmental,P0C8W1,Hoffmannihadrurus gertschi,peptides,true,13,True
esm2_telescoping_segmental,P0C8W1,Hoffmannihadrurus gertschi,peptides,fp_pred,31,False
esm2_telescoping_segmental,P0C8W1,Hoffmannihadrurus gertschi,propeptides,true,32,False
esm2_telescoping_segmental,Q9BPA1,Conus ventricosus,peptides,true,34,True
esm2_telescoping_segmental,Q9BPA1,Conus ventricosus,propeptides,true,35,True
esm2_telescoping_segmental,Q3YEE1,Conus marmoreus,peptides,true,34,True
esm2_telescoping_segmental,Q3YEE1,Conus marmoreus,propeptides,true,27,True
esm2_telescoping_segmental,Q8IS41,Conus vexillum,peptides,true,36,False
esm2_telescoping_segmental,Q8IS41,Conus vexillum,propeptides,true,30,True
esm2_telescoping_segmental,Q7Z027,Conus vexillum,peptides,true,28,True
esm2_telescoping_segmental,Q7Z027,Conus vexillum,propeptides,true,31,True
esm2_telescoping_segmental,Q26443,Conus marmoreus,peptides,true,31,False
esm2_telescoping_segmental,Q26443,Conus marmoreus,propeptides,true,27,True
esm2_telescoping_segmental,Q7M761,Mus musculus,propeptides,true,29,True
esm2_telescoping_segmental,P81941,Pseudopleuronectes americanus,peptides,true,25,False
esm2_telescoping_segmental,P81941,Pseudopleuronectes americanus,peptides,fp_pred,31,False
esm2_telescoping_segmental,P81941,Pseudopleuronectes americanus,propeptides,true,21,False
esm2_telescoping_segmental,P81941,Pseudopleuronectes americanus,propeptides,fp_pred,15,False
esm2_telescoping_segmental,P36491,Populus deltoides,propeptides,true,9,False
esm2_telescoping_segmental,P36491,Populus deltoides,propeptides,fp_pred,11,False
esm2_telescoping_segmental,Q27173,Paramecium tetraurelia,propeptides,true,29,True
esm2_telescoping_segmental,Q27173,Paramecium tetraurelia,propeptides,fp_pred,49,False
esm2_telescoping_segmental,A0A384E129,Conus moncuri,peptides,true,31,True
esm2_telescoping_segmental,A0A384E129,Conus moncuri,propeptides,true,23,True
esm2_telescoping_segmental,L0GCV8,Urodacus yaschenkoi,peptides,true,14,True
esm2_telescoping_segmental,L0GCV8,Urodacus yaschenkoi,propeptides,true,39,True
esm2_telescoping_segmental,S6CWV8,Tityus serrulatus,peptides,true,17,True
esm2_telescoping_segmental,S6CWV8,Tityus serrulatus,peptides,fp_pred,14,False
esm2_telescoping_segmental,S6CWV8,Tityus serrulatus,propeptides,true,29,False
esm2_telescoping_segmental,S6CWV8,Tityus serrulatus,propeptides,fp_pred,15,False
esm2_telescoping_segmental,D4B5D4,Arthroderma benhamiae,propeptides,true,21,True
esm2_telescoping_segmental,P0C589,Viola arvensis,peptides,true,33,True
esm2_telescoping_segmental,P0C589,Viola arvensis,peptides,true,33,True
esm2_telescoping_segmental,P0C589,Viola arvensis,propeptides,true,50,True
esm2_telescoping_segmental,P0C589,Viola arvensis,propeptides,true,13,False
esm2_telescoping_segmental,P0C589,Viola arvensis,propeptides,true,49,False
esm2_telescoping_segmental,P0C589,Viola arvensis,propeptides,fp_pred,28,False
esm2_telescoping_segmental,P0C589,Viola arvensis,propeptides,fp_pred,30,False
esm2_telescoping_segmental,Q8X176,Neosartorya fumigata,propeptides,true,28,False
esm2_telescoping_segmental,Q8X176,Neosartorya fumigata,propeptides,fp_pred,24,False
esm2_telescoping_segmental,Q9BZR6,Homo sapiens,propeptides,true,26,True
esm2_telescoping_segmental,Q9N0E3,Macaca fascicularis,propeptides,true,26,True
esm2_telescoping_segmental,Q99PI8,Mus musculus,propeptides,true,26,True
esm2_telescoping_segmental,Q99M75,Rattus norvegicus,propeptides,true,26,True
esm2_telescoping_segmental,Q5K0D8,Conus striatus,peptides,true,36,True
esm2_telescoping_segmental,Q5K0D8,Conus striatus,propeptides,true,20,True
esm2_telescoping_segmental,Q9U651,Conus textile,peptides,true,25,True
esm2_telescoping_segmental,Q9U651,Conus textile,propeptides,true,28,True
esm2_telescoping_segmental,O00254,Homo sapiens,propeptides,true,17,False
esm2_telescoping_segmental,O00254,Homo sapiens,propeptides,fp_pred,21,False
esm2_telescoping_segmental,Q96RI0,Homo sapiens,propeptides,true,30,False
esm2_telescoping_segmental,Q9GLG4,Sus scrofa,peptides,true,11,False
esm2_telescoping_segmental,Q9GLG4,Sus scrofa,peptides,true,17,False
esm2_telescoping_segmental,Q9GLG4,Sus scrofa,peptides,true,34,False
esm2_telescoping_segmental,Q9GLG4,Sus scrofa,peptides,true,11,False
esm2_telescoping_segmental,Q9GLG4,Sus scrofa,peptides,fp_pred,10,False
esm2_telescoping_segmental,Q9GLG4,Sus scrofa,peptides,fp_pred,21,False
esm2_telescoping_segmental,Q9GLG4,Sus scrofa,peptides,fp_pred,14,False
