run,protein_id,organism,task,kind,length,matched
esmc6b_3di_widehead,Q99109,Ustilago maydis,peptides,true,34,False
esmc6b_3di_widehead,Q99109,Ustilago maydis,peptides,true,36,False
esmc6b_3di_widehead,Q99109,Ustilago maydis,peptides,true,35,False
esmc6b_3di_widehead,Q99109,Ustilago maydis,peptides,true,34,False
esmc6b_3di_widehead,Q99109,Ustilago maydis,peptides,true,35,False
esmc6b_3di_widehead,Q99109,Ustilago maydis,peptides,true,45,False
esmc6b_3di_widehead,Q99109,Ustilago maydis,peptides,true,34,False
esmc6b_3di_widehead,Q99109,Ustilago maydis,peptides,true,35,False
esmc6b_3di_widehead,Q99109,Ustilago maydis,peptides,true,35,False
esmc6b_3di_widehead,Q99109,Ustilago maydis,propeptides,fp_pred,36,False
esmc6b_3di_widehead,Q86UU9,Homo sapiens,peptides,true,47,True
esmc6b_3di_widehead,Q86UU9,Homo sapiens,peptides,true,14,True
esmc6b_3di_widehead,Q86UU9,Homo sapiens,peptides,tp_pred,10,True
esmc6b_3di_widehead,Q86UU9,Homo sapiens,peptides,tp_pred,13,True
esmc6b_3di_widehead,Q86UU9,Homo sapiens,propeptides,true,9,True
esmc6b_3di_widehead,Q86UU9,Homo sapiens,propeptides,true,16,True
esmc6b_3di_widehead,Q86UU9,Homo sapiens,propeptides,tp_pred,10,True
esmc6b_3di_widehead,Q86UU9,Homo sapiens,propeptides,tp_pred,15,True
esmc6b_3di_widehead,G0W2H8,Bunodosoma granuliferum,propeptides,true,8,True
esmc6b_3di_widehead,G0W2H8,Bunodosoma granuliferum,propeptides,tp_pred,10,True
esmc6b_3di_widehead,G0W2H9,Bunodosoma granuliferum,propeptides,true,8,True
esmc6b_3di_widehead,G0W2H9,Bunodosoma granuliferum,propeptides,tp_pred,8,True
esmc6b_3di_widehead,P26738,Bombyx mori,peptides,true,26,True
esmc6b_3di_widehead,P26738,Bombyx mori,peptides,true,21,True
esmc6b_3di_widehead,P26738,Bombyx mori,peptides,tp_pred,24,True
esmc6b_3di_widehead,P26738,Bombyx mori,peptides,tp_pred,21,True
esmc6b_3di_widehead,P26738,Bombyx mori,propeptides,true,19,True
esmc6b_3di_widehead,P26738,Bombyx mori,propeptides,tp_pred,19,True
esmc6b_3di_widehead,D2DGD4,Conus caracteristicus,peptides,true,34,True
esmc6b_3di_widehead,D2DGD4,Conus caracteristicus,peptides,tp_pred,32,True
esmc6b_3di_widehead,D2DGD4,Conus caracteristicus,propeptides,true,23,True
esmc6b_3di_widehead,D2DGD4,Conus caracteristicus,propeptides,tp_pred,25,True
esmc6b_3di_widehead,P01327,Chinchilla chinchilla,peptides,true,30,True
esmc6b_3di_widehead,P01327,Chinchilla chinchilla,peptides,true,21,True
esmc6b_3di_widehead,P01327,Chinchilla chinchilla,peptides,tp_pred,30,True
esmc6b_3di_widehead,P01327,Chinchilla chinchilla,peptides,tp_pred,21,True
esmc6b_3di_widehead,P01327,Chinchilla chinchilla,propeptides,true,31,True
esmc6b_3di_widehead,P01327,Chinchilla chinchilla,propeptides,tp_pred,33,True
esmc6b_3di_widehead,Q86YL7,Homo sapiens,peptides,true,12,False
esmc6b_3di_widehead,P53872,Saccharomyces cerevisiae,propeptides,true,30,True
esmc6b_3di_widehead,P53872,Saccharomyces cerevisiae,propeptides,tp_pred,30,True
esmc6b_3di_widehead,Q5A5K7,Candida albicans,propeptides,true,29,False
esmc6b_3di_widehead,Q5A5K7,Candida albicans,propeptides,fp_pred,18,False
esmc6b_3di_widehead,Q59Y11,Candida albicans,propeptides,true,26,True
esmc6b_3di_widehead,Q59Y11,Candida albicans,propeptides,tp_pred,26,True
esmc6b_3di_widehead,P52718,Aspergillus niger,propeptides,true,27,False
esmc6b_3di_widehead,P52718,Aspergillus niger,propeptides,fp_pred,19,False
esmc6b_3di_widehead,Q5ABW2,Candida albicans,propeptides,true,22,True
esmc6b_3di_widehead,Q5ABW2,Candida albicans,propeptides,tp_pred,22,True
esmc6b_3di_widehead,P13696,Bos taurus,peptides,true,11,False
esmc6b_3di_widehead,Q3YIX4,Canis lupus familiaris,peptides,true,12,False
esmc6b_3di_widehead,P30086,Homo sapiens,peptides,true,11,False
esmc6b_3di_widehead,P48737,Macaca fascicularis,peptides,true,12,False
esmc6b_3di_widehead,P70296,Mus musculus,peptides,true,11,False
esmc6b_3di_widehead,Q5R4R0,Pongo abelii,peptides,true,12,False
esmc6b_3di_widehead,Q8MK67,Oryctolagus cuniculus,peptides,true,12,False
esmc6b_3di_widehead,P31044,Rattus norvegicus,peptides,true,11,False
esmc6b_3di_widehead,P52719,Aspergillus phoenicis,propeptides,true,34,False
esmc6b_3di_widehead,Q9FZ54,Arabidopsis thaliana,peptides,true,15,False
esmc6b_3di_widehead,Q9FZ54,Arabidopsis thaliana,peptides,fp_pred,13,False
esmc6b_3di_widehead,Q9FZ54,Arabidopsis thaliana,peptides,fp_pred,10,False
esmc6b_3di_widehead,Q52K95,Arabidopsis thaliana,peptides,true,15,False
esmc6b_3di_widehead,Q52K95,Arabidopsis thaliana,peptides,fp_pred,13,False
esmc6b_3di_widehead,Q52K95,Arabidopsis thaliana,peptides,fp_pred,10,False
esmc6b_3di_widehead,P69560,Spinacia oleracea,propeptides,true,9,False
esmc6b_3di_widehead,P32036,Cuscuta reflexa,propeptides,true,9,False
esmc6b_3di_widehead,O18495,Styela clava,peptides,true,32,False
esmc6b_3di_widehead,O18495,Styela clava,propeptides,true,26,False
esmc6b_3di_widehead,F8S0Z7,Crotalus adamanteus,propeptides,true,24,True
esmc6b_3di_widehead,F8S0Z7,Crotalus adamanteus,propeptides,tp_pred,24,True
