run,protein_id,organism,task,kind,length,matched
esmc6b_boundary_bond,Q99109,Ustilago maydis,peptides,true,34,False
esmc6b_boundary_bond,Q99109,Ustilago maydis,peptides,true,36,False
esmc6b_boundary_bond,Q99109,Ustilago maydis,peptides,true,35,False
esmc6b_boundary_bond,Q99109,Ustilago maydis,peptides,true,34,False
esmc6b_boundary_bond,Q99109,Ustilago maydis,peptides,true,35,True
esmc6b_boundary_bond,Q99109,Ustilago maydis,peptides,true,45,False
esmc6b_boundary_bond,Q99109,Ustilago maydis,peptides,true,34,False
esmc6b_boundary_bond,Q99109,Ustilago maydis,peptides,true,35,False
esmc6b_boundary_bond,Q99109,Ustilago maydis,peptides,true,35,False
esmc6b_boundary_bond,Q86UU9,Homo sapiens,peptides,true,47,True
esmc6b_boundary_bond,Q86UU9,Homo sapiens,peptides,true,14,False
esmc6b_boundary_bond,Q86UU9,Homo sapiens,peptides,fp_pred,25,False
esmc6b_boundary_bond,Q86UU9,Homo sapiens,propeptides,true,9,False
esmc6b_boundary_bond,Q86UU9,Homo sapiens,propeptides,true,16,True
esmc6b_boundary_bond,G0W2H8,Bunodosoma granuliferum,peptides,fp_pred,43,False
esmc6b_boundary_bond,G0W2H8,Bunodosoma granuliferum,propeptides,true,8,True
esmc6b_boundary_bond,G0W2H9,Bunodosoma granuliferum,peptides,fp_pred,43,False
esmc6b_boundary_bond,G0W2H9,Bunodosoma granuliferum,propeptides,true,8,True
esmc6b_boundary_bond,P26738,Bombyx mori,peptides,true,26,True
esmc6b_boundary_bond,P26738,Bombyx mori,peptides,true,21,True
esmc6b_boundary_bond,P26738,Bombyx mori,peptides,fp_pred,18,False
esmc6b_boundary_bond,P26738,Bombyx mori,propeptides,true,19,False
esmc6b_boundary_bond,D2DGD4,Conus caracteristicus,peptides,true,34,True
esmc6b_boundary_bond,D2DGD4,Conus caracteristicus,propeptides,true,23,True
esmc6b_boundary_bond,P01327,Chinchilla chinchilla,peptides,true,30,True
esmc6b_boundary_bond,P01327,Chinchilla chinchilla,peptides,true,21,True
esmc6b_boundary_bond,P01327,Chinchilla chinchilla,propeptides,true,31,False
esmc6b_boundary_bond,Q86YL7,Homo sapiens,peptides,true,12,False
esmc6b_boundary_bond,P53872,Saccharomyces cerevisiae,propeptides,true,30,True
esmc6b_boundary_bond,Q5A5K7,Candida albicans,propeptides,true,29,False
esmc6b_boundary_bond,Q5A5K7,Candida albicans,propeptides,fp_pred,18,False
esmc6b_boundary_bond,Q59Y11,Candida albicans,propeptides,true,26,True
esmc6b_boundary_bond,P52718,Aspergillus niger,propeptides,true,27,True
esmc6b_boundary_bond,Q5ABW2,Candida albicans,propeptides,true,22,True
esmc6b_boundary_bond,P13696,Bos taurus,peptides,true,11,False
esmc6b_boundary_bond,Q3YIX4,Canis lupus familiaris,peptides,true,12,False
esmc6b_boundary_bond,P30086,Homo sapiens,peptides,true,11,False
esmc6b_boundary_bond,P48737,Macaca fascicularis,peptides,true,12,False
esmc6b_boundary_bond,P70296,Mus musculus,peptides,true,11,False
esmc6b_boundary_bond,Q5R4R0,Pongo abelii,peptides,true,12,False
esmc6b_boundary_bond,Q8MK67,Oryctolagus cuniculus,peptides,true,12,False
esmc6b_boundary_bond,P31044,Rattus norvegicus,peptides,true,11,False
