task,length,correct,confused_as_other,detected_same
peptides,34,False,False,False
peptides,36,False,False,False
peptides,35,False,False,False
peptides,34,False,False,False
peptides,35,True,False,True
peptides,45,False,False,False
peptides,34,False,False,False
peptides,35,False,False,False
peptides,35,False,False,False
peptides,47,False,False,True
peptides,10,True,False,True
peptides,14,False,False,True
propeptides,9,False,True,False
propeptides,16,True,False,True
propeptides,8,True,False,True
propeptides,8,True,False,True
peptides,26,True,False,True
peptides,21,True,False,True
propeptides,19,False,True,False
peptides,34,True,True,True
propeptides,23,True,False,True
peptides,30,True,False,True
peptides,21,True,False,True
propeptides,31,False,False,False
peptides,12,False,False,False
propeptides,30,True,False,True
propeptides,29,False,False,True
propeptides,26,True,False,True
propeptides,27,True,False,True
propeptides,22,True,False,True
peptides,11,False,False,False
peptides,12,False,False,False
peptides,11,False,False,False
peptides,12,False,False,False
peptides,11,False,False,False
peptides,12,False,False,False
peptides,12,False,False,False
peptides,11,False,False,False
propeptides,34,False,False,True
peptides,15,False,False,True
peptides,15,False,False,True
propeptides,9,False,False,False
propeptides,9,False,False,False
peptides,32,False,False,False
propeptides,26,True,False,True
propeptides,24,True,False,True
propeptides,24,True,False,True
propeptides,30,False,False,True
propeptides,26,True,False,True
propeptides,22,False,False,True
propeptides,22,False,False,True
propeptides,24,True,False,True
propeptides,27,True,False,True
propeptides,29,True,False,True
peptides,29,False,True,False
peptides,29,False,True,False
peptides,29,False,True,False
propeptides,46,True,False,True
propeptides,25,False,False,False
propeptides,25,True,False,True
peptides,13,True,False,True
propeptides,32,True,False,True
peptides,34,True,False,True
propeptides,35,True,False,True
peptides,34,True,False,True
propeptides,27,True,False,True
peptides,36,True,False,True
propeptides,30,True,False,True
peptides,28,True,False,True
propeptides,31,True,True,True
peptides,31,True,False,True
propeptides,27,True,False,True
propeptides,29,True,False,True
propeptides,24,True,False,True
peptides,25,False,False,True
propeptides,21,False,True,True
propeptides,9,False,False,False
propeptides,29,True,False,True
peptides,31,True,False,True
peptides,30,True,False,True
propeptides,23,True,False,True
peptides,14,True,False,True
peptides,13,True,False,True
propeptides,39,True,False,True
peptides,17,True,False,True
propeptides,29,True,False,True
propeptides,21,True,False,True
peptides,33,False,True,False
peptides,33,False,False,False
propeptides,50,True,False,True
propeptides,13,False,False,False
propeptides,49,False,False,False
propeptides,28,False,False,True
propeptides,26,True,False,True
propeptides,26,True,False,True
propeptides,26,True,False,True
propeptides,26,True,False,True
peptides,36,False,True,True
propeptides,20,True,False,True
peptides,25,True,False,True
propeptides,28,True,False,True
propeptides,17,True,False,True
propeptides,30,False,False,False
peptides,11,False,False,False
peptides,17,False,False,True
peptides,34,False,False,False
peptides,11,False,False,False
propeptides,23,True,False,True
peptides,37,True,False,True
propeptides,26,True,False,True
propeptides,23,True,False,True
peptides,37,True,False,True
propeptides,19,True,False,True
propeptides,23,True,False,True
peptides,37,True,False,True
propeptides,19,True,False,True
propeptides,18,True,False,True
peptides,37,True,False,True
propeptides,19,True,False,True
peptides,21,False,False,False
peptides,22,False,False,False
propeptides,11,False,False,True
peptides,32,False,False,False
propeptides,26,True,False,True
propeptides,21,False,False,False
peptides,11,False,False,False
peptides,14,False,False,True
peptides,13,False,False,False
propeptides,27,True,False,True
propeptides,6,True,False,True
peptides,31,False,False,False
propeptides,18,True,False,True
peptides,36,True,False,True
propeptides,13,True,False,True
peptides,37,True,False,True
propeptides,13,True,False,True
peptides,11,True,False,True
propeptides,38,False,False,False
peptides,10,True,False,True
peptides,12,False,True,False
propeptides,36,False,False,False
propeptides,16,False,False,True
peptides,10,True,False,True
propeptides,38,True,False,True
propeptides,41,True,False,True
peptides,5,False,False,True
peptides,5,False,False,True
peptides,5,False,False,True
propeptides,32,True,False,True
peptides,29,True,False,True
propeptides,29,True,False,True
peptides,27,True,False,True
propeptides,26,True,False,True
propeptides,9,False,False,False
propeptides,9,False,False,False
peptides,32,False,False,True
peptides,22,True,False,True
propeptides,29,False,False,True
propeptides,15,False,False,False
propeptides,9,False,False,False
propeptides,30,True,False,True
propeptides,26,True,False,True
peptides,42,True,False,True
propeptides,38,True,False,True
peptides,7,False,False,False
propeptides,13,True,False,True
propeptides,13,True,False,True
peptides,35,True,False,True
peptides,21,True,False,True
propeptides,24,True,False,True
peptides,15,True,False,True
propeptides,20,True,False,True
peptides,39,True,False,True
peptides,39,True,False,True
peptides,39,True,False,True
peptides,39,True,False,True
peptides,39,True,False,True
propeptides,18,False,False,True
peptides,12,False,False,True
propeptides,24,True,False,True
