run,protein_id,organism,task,kind,length,matched
train_run_esmc_600m,Q99109,Ustilago maydis,peptides,true,34,False
train_run_esmc_600m,Q99109,Ustilago maydis,peptides,true,36,False
train_run_esmc_600m,Q99109,Ustilago maydis,peptides,true,35,False
train_run_esmc_600m,Q99109,Ustilago maydis,peptides,true,34,False
train_run_esmc_600m,Q99109,Ustilago maydis,peptides,true,35,False
train_run_esmc_600m,Q99109,Ustilago maydis,peptides,true,45,False
train_run_esmc_600m,Q99109,Ustilago maydis,peptides,true,34,False
train_run_esmc_600m,Q99109,Ustilago maydis,peptides,true,35,False
train_run_esmc_600m,Q99109,Ustilago maydis,peptides,true,35,False
train_run_esmc_600m,Q86UU9,Homo sapiens,peptides,true,47,False
train_run_esmc_600m,Q86UU9,Homo sapiens,peptides,true,14,False
train_run_esmc_600m,Q86UU9,Homo sapiens,peptides,fp_pred,35,False
train_run_esmc_600m,Q86UU9,Homo sapiens,propeptides,true,9,False
train_run_esmc_600m,Q86UU9,Homo sapiens,propeptides,true,16,True
train_run_esmc_600m,G0W2H8,Bunodosoma granuliferum,propeptides,true,8,True
train_run_esmc_600m,G0W2H9,Bunodosoma granuliferum,propeptides,true,8,True
train_run_esmc_600m,P26738,Bombyx mori,peptides,true,26,False
train_run_esmc_600m,P26738,Bombyx mori,peptides,true,21,True
train_run_esmc_600m,P26738,Bombyx mori,peptides,fp_pred,44,False
train_run_esmc_600m,P26738,Bombyx mori,propeptides,true,19,False
train_run_esmc_600m,D2DGD4,Conus caracteristicus,peptides,true,34,True
train_run_esmc_600m,D2DGD4,Conus caracteristicus,propeptides,true,23,True
train_run_esmc_600m,P01327,Chinchilla chinchilla,peptides,true,30,False
train_run_esmc_600m,P01327,Chinchilla chinchilla,peptides,true,21,False
train_run_esmc_600m,P01327,Chinchilla chinchilla,propeptides,true,31,False
train_run_esmc_600m,Q86YL7,Homo sapiens,peptides,true,12,False
train_run_esmc_600m,P53872,Saccharomyces cerevisiae,propeptides,true,30,True
train_run_esmc_600m,Q5A5K7,Candida albicans,propeptides,true,29,False
train_run_esmc_600m,Q5A5K7,Candida albicans,propeptides,fp_pred,19,False
train_run_esmc_600m,Q59Y11,Candida albicans,propeptides,true,26,True
train_run_esmc_600m,P52718,Aspergillus niger,propeptides,true,27,True
train_run_esmc_600m,Q5ABW2,Candida albicans,propeptides,true,22,True
train_run_esmc_600m,P13696,Bos taurus,peptides,true,11,False
train_run_esmc_600m,Q3YIX4,Canis lupus familiaris,peptides,true,12,False
train_run_esmc_600m,P30086,Homo sapiens,peptides,true,11,False
train_run_esmc_600m,P48737,Macaca fascicularis,peptides,true,12,False
train_run_esmc_600m,P70296,Mus musculus,peptides,true,11,False
train_run_esmc_600m,P70296,Mus musculus,propeptides,fp_pred,5,False
train_run_esmc_600m,Q5R4R0,Pongo abelii,peptides,true,12,False
train_run_esmc_600m,Q8MK67,Oryctolagus cuniculus,peptides,true,12,False
train_run_esmc_600m,P31044,Rattus norvegicus,peptides,true,11,False
train_run_esmc_600m,P31044,Rattus norvegicus,propeptides,fp_pred,5,False
train_run_esmc_600m,P52719,Aspergillus phoenicis,propeptides,true,34,False
train_run_esmc_600m,P52719,Aspergillus phoenicis,propeptides,fp_pred,28,False
train_run_esmc_600m,Q9FZ54,Arabidopsis thaliana,peptides,true,15,True
train_run_esmc_600m,Q9FZ54,Arabidopsis thaliana,propeptides,fp_pred,42,False
train_run_esmc_600m,Q52K95,Arabidopsis thaliana,peptides,true,15,False
train_run_esmc_600m,Q52K95,Arabidopsis thaliana,peptides,fp_pred,11,False
train_run_esmc_600m,Q52K95,Arabidopsis thaliana,propeptides,fp_pred,41,False
train_run_esmc_600m,P69560,Spinacia oleracea,propeptides,true,9,False
train_run_esmc_600m,P32036,Cuscuta reflexa,propeptides,true,9,False
train_run_esmc_600m,P32036,Cuscuta reflexa,propeptides,fp_pred,5,False
train_run_esmc_600m,O18495,Styela clava,peptides,true,32,False
train_run_esmc_600m,O18495,Styela clava,propeptides,true,26,False
train_run_esmc_600m,O18495,Styela clava,propeptides,fp_pred,30,False
train_run_esmc_600m,F8S0Z7,Crotalus adamanteus,propeptides,true,24,True
train_run_esmc_600m,B6EWW8,Gloydius brevicaudus,propeptides,true,24,True
train_run_esmc_600m,Q5AJC0,Candida albicans,propeptides,true,30,False
train_run_esmc_600m,Q5AJC0,Candida albicans,propeptides,fp_pred,26,False
train_run_esmc_600m,P07911,Homo sapiens,propeptides,true,26,True
train_run_esmc_600m,P48733,Bos taurus,propeptides,true,22,False
train_run_esmc_600m,P48733,Bos taurus,propeptides,fp_pred,27,False
train_run_esmc_600m,Q862Z3,Canis lupus familiaris,propeptides,true,22,False
train_run_esmc_600m,Q862Z3,Canis lupus familiaris,propeptides,fp_pred,26,False
train_run_esmc_600m,Q91X17,Mus musculus,propeptides,true,24,True
train_run_esmc_600m,Q5R5C1,Pongo abelii,propeptides,true,27,True
train_run_esmc_600m,P27590,Rattus norvegicus,propeptides,true,29,True
train_run_esmc_600m,Q5USN7,Viola odorata,peptides,true,29,False
train_run_esmc_600m,Q5USN7,Viola odorata,peptides,true,29,True
train_run_esmc_600m,Q5USN7,Viola odorata,peptides,true,29,False
train_run_esmc_600m,Q5USN7,Viola odorata,peptides,fp_pred,31,False
train_run_esmc_600m,Q5USN7,Viola odorata,peptides,fp_pred,35,False
