run,label,old_f1_all,new_f1_all,old_p_all,new_p_all,old_r_all,new_r_all,mcc_all,auc_all,old_f1_peptides,new_f1_peptides,old_p_peptides,new_p_peptides,old_r_peptides,new_r_peptides,mcc_peptides,auc_peptides,old_f1_propeptides,new_f1_propeptides,old_p_propeptides,new_p_propeptides,old_r_propeptides,new_r_propeptides,mcc_propeptides,auc_propeptides
train_run_esm2+3di_proj,(ProstT5-3Di + ESM2) проектор,0.596315,0.611042,0.634581,0.642234,0.562401,0.58274,0.744825,0.918707,0.583521,0.610816,0.603352,0.617937,0.564952,0.603856,0.698029,0.933610,0.607436,0.611241,0.663248,0.665251,0.560289,0.565343,0.711105,0.920006
train_run_esm2+3di_proj_gated,(ProstT5-3Di + ESM2) проектор + gate,0.544843,0.55078,0.697231,0.699817,0.447119,0.454078,0.659232,0.806648,0.530109,0.542056,0.611617,0.617713,0.46777,0.48291,0.603756,0.837591,0.558837,0.559099,0.797858,0.797858,0.430014,0.430325,0.682198,0.805804
train_run_esm2+3di_proj_gated_conv,(ProstT5-3Di + ESM2) проектор + gate + conv,0.611427,0.630766,0.657895,0.667108,0.571091,0.598179,0.731106,0.911989,0.602934,0.634624,0.664234,0.678643,0.551993,0.595968,0.682221,0.915861,0.618251,0.627644,0.653012,0.657957,0.587004,0.6,0.708054,0.908232
train_run_aft_no_lddt,"AFTK все без lddt, без фильтра",0.408254,0.418985,0.457939,0.465653,0.368295,0.380819,0.615472,0.943004,0.385036,0.403998,0.363781,0.377138,0.408929,0.434978,0.544048,0.943525,0.434211,0.435885,0.616,0.617021,0.335269,0.336964,0.528059,0.930133
train_run_aft,"AFTK все каналы, без фильтра",0.381827,0.385992,0.52937,0.53169,0.298603,0.30297,0.549559,0.945572,0.3816,0.389093,0.464377,0.468434,0.323869,0.332735,0.497541,0.946604,0.382045,0.383042,0.610845,0.611465,0.277939,0.278867,0.522004,0.951959
train_run_aft_plddt70,"AFTK все, >70% avg pLDDT",0.274137,0.274549,0.316032,0.316032,0.242049,0.242693,0.578794,0.949674,0.069333,0.069612,0.065,0.065,0.074286,0.074928,0.483164,0.951562,0.397118,0.397118,0.531049,0.531049,0.317136,0.317136,0.517332,0.944554
train_run_aft_single,"AFTK только single, без фильтра",0.3307,0.332388,0.566731,0.566731,0.233466,0.235152,0.531177,0.939182,0.312268,0.315592,0.522822,0.522822,0.222615,0.226009,0.467706,0.934169,0.346114,0.346293,0.605072,0.605072,0.24238,0.242556,0.525354,0.945122
train_run_esmc_600m,ESM-C (600M),0.568417,0.577426,0.633269,0.637956,0.515613,0.527387,0.713288,0.953660,0.535471,0.546951,0.60483,0.610811,0.480384,0.49518,0.628946,0.958442,0.594595,0.601614,0.655319,0.659091,0.54417,0.553357,0.706027,0.960140
esmc_6b,ESM-C 6B,0.579471,0.598598,0.569654,0.580242,0.589634,0.618153,0.758310,0.967942,0.562424,0.586496,0.52568,0.538913,0.604692,0.643295,0.728171,0.971470,0.594831,0.60951,0.613363,0.621602,0.577385,0.59788,0.746194,0.970620
esmc6b_boundary_only,ESM-C 6B + boundary-голова (без bond),0.659322,0.670543,0.741857,0.74569,0.593313,0.609155,0.756751,0.968161,0.661952,0.682629,0.728216,0.735086,0.606742,0.63716,0.732483,0.976643,0.657097,0.660302,0.753888,0.755232,0.582332,0.586572,0.733940,0.971431
