run,f1,p,r,mcc,auc,f1_old,p_old,r_old,n_test
baseline_esm2,0.5711052433044135,0.5619896065330364,0.5805214723926381,0.7342985968531994,0.9571855839779364,0.5579921409557612,0.5542684462352052,0.5617662072485963,2325
esm2_3di_proj_gated_conv,0.597323247017748,0.6924114671163575,0.525198260424661,0.7143548130933988,0.8860226843069934,0.5782004389173373,0.6842105263157895,0.500633392449962,2322
esm2_boundary,0.5844867358708189,0.6703042328042328,0.5181492842535788,0.6936194620595654,0.9619007879618293,0.5717180489216963,0.664535666218035,0.5016510033020066,2325
esm2_boundary_bond,0.5825898891592323,0.6181870338496844,0.5508691206543967,0.7170604815134596,0.9611301825190683,0.5707303828400762,0.6122924555782114,0.5344520722095093,2325
esm2_telescoping,0.5707202181728027,0.5540312876052949,0.5884458077709611,0.7296637666236813,0.9586716186873838,0.5549017152873419,0.5446055541902187,0.5655946911689638,2325
esmc6b_3di_gated_boundary,0.6912418300653594,0.706762897620957,0.6763878229726272,0.7599673463825236,0.9681922843159891,0.6743879968412742,0.7001913091008473,0.6504188880426505,2322
esmc6b_3di_nocompress,0.6945072483042958,0.7232686980609419,0.6679457661806089,0.7714851407153283,0.9660268708888139,0.6789825970548862,0.7173974540311174,0.6444726810673443,2322
esmc6b_3di_struct32,0.6971694455215199,0.7045454545454546,0.6899462778204144,0.7884368276818889,0.9692968797134457,0.6813674321503131,0.6977552111170497,0.6657317695053544,2322
esmc6b_3di_struct48,0.693381129176802,0.6940030753459764,0.6927602967510872,0.7774028655188808,0.9701431717954807,0.6762496762496762,0.6862023653088042,0.666581567526168,2322
esmc6b_3di_zeroctrl,0.6939904450590897,0.6889665501747378,0.6990881458966566,0.7799016476906265,0.9711313163248078,0.6767471410419315,0.6812484011256076,0.6723049734915425,2361
esmc6b_boundary,0.6650144568360182,0.7285067873303167,0.6117021276595744,0.7532674870020548,0.969047017409058,0.6517412935323383,0.7237569060773481,0.5927601809954751,2361
esmc6b_boundary_bond,0.6507670850767084,0.7240844196151459,0.5909321175278622,0.745424710813916,0.9674527924840222,0.6416201117318436,0.7209667294413057,0.5780070457976849,2361
esmc6b_telescoping,0.6262180070157204,0.6428380901573753,0.610435663627153,0.7583482279216797,0.9644642443633817,0.6134135181069421,0.6366350067842605,0.5918264379414733,2361
esmc_600m,0.6010928961748634,0.6524317912218268,0.5572441742654508,0.729049269294493,0.9625183014464118,0.5921971252566736,0.6485757121439281,0.5448362720403023,2361
esmc_6b,0.604431234801405,0.6476548928778229,0.5666160081053698,0.7481331441992836,0.967935083517411,0.5904450796243365,0.6405788541051388,0.5475889926786165,2361
