run,n_test,corr_all,corr_pep,corr_propep,orig_all,orig_pep,orig_propep
2026_esmc6b_3di_nocompress,1172,0.6902,0.7247,0.6673,0.6757,0.7018,0.6584
2026_esmc6b_3di_gated_boundary,1172,0.6889,0.694,0.6855,0.6718,0.6649,0.6764
2026_esmc6b_3di_struct32,1172,0.6851,0.7021,0.6738,0.6718,0.681,0.6658
2026_esmc6b_3di_struct48,1172,0.6761,0.6896,0.6664,0.6566,0.6629,0.6522
2026_esmc6b_3di_zeroctrl,1193,0.6751,0.6934,0.6629,0.6562,0.6693,0.6474
2026_esmc6b_boundary,1193,0.6682,0.6958,0.649,0.6598,0.6813,0.6449
2026_esmc6b_boundary_bond,1193,0.658,0.678,0.6447,0.6504,0.6657,0.6402
2026_esmc6b_telescoping,1193,0.6247,0.6437,0.6124,0.6139,0.6269,0.6054
2026_esmc_6b,1193,0.6149,0.6116,0.6171,0.6038,0.5942,0.61
2026_esmc_600m,1193,0.587,0.6281,0.5601,0.5769,0.6186,0.5493
2026_esm2_3di_proj_gated_conv,1172,0.5798,0.6105,0.5582,0.5618,0.5839,0.5463
2026_esm2_boundary_bond,1174,0.5566,0.5923,0.5301,0.5443,0.577,0.5198
2026_esm2_telescoping,1174,0.5449,0.5801,0.5214,0.528,0.5569,0.5088
2026_baseline_esm2,1174,0.5378,0.5436,0.5335,0.5237,0.5273,0.521
