model,fold,task,length,lbin,genus,new,matched
baseline_esm2,2,propep,8,5-9,Mesobuthus,False,0
baseline_esm2,2,pep,16,15-19,Conus,True,1
baseline_esm2,2,pep,22,20-24,Conus,True,0
baseline_esm2,2,pep,16,15-19,Conus,True,0
baseline_esm2,2,pep,14,10-14,Danio,True,0
baseline_esm2,2,propep,8,5-9,Danio,True,0
baseline_esm2,2,propep,26,25-29,Danio,True,1
baseline_esm2,2,pep,13,10-14,Heterometrus,False,1
baseline_esm2,2,propep,28,25-29,Heterometrus,False,1
baseline_esm2,2,propep,9,5-9,Loxosceles,True,0
baseline_esm2,2,pep,27,25-29,Heteractis,True,1
baseline_esm2,2,pep,27,25-29,Heteractis,True,1
baseline_esm2,2,pep,27,25-29,Heteractis,True,1
baseline_esm2,2,pep,27,25-29,Heteractis,True,0
baseline_esm2,2,propep,15,15-19,Heteractis,True,1
baseline_esm2,2,propep,7,5-9,Heteractis,True,1
baseline_esm2,2,propep,7,5-9,Heteractis,True,1
baseline_esm2,2,propep,7,5-9,Heteractis,True,0
baseline_esm2,2,propep,12,10-14,Heteractis,True,1
baseline_esm2,2,pep,28,25-29,Heteractis,True,1
baseline_esm2,2,pep,28,25-29,Heteractis,True,0
baseline_esm2,2,propep,11,10-14,Heteractis,True,1
baseline_esm2,2,propep,24,20-24,Danio,False,1
baseline_esm2,2,pep,13,10-14,Conus,False,0
baseline_esm2,2,propep,27,25-29,Conus,False,0
baseline_esm2,2,pep,25,25-29,Conus,False,0
baseline_esm2,2,propep,27,25-29,Conus,False,0
baseline_esm2,2,pep,11,10-14,Microcystis,False,1
baseline_esm2,2,pep,11,10-14,Microcystis,False,0
baseline_esm2,2,pep,11,10-14,Microcystis,False,0
baseline_esm2,2,propep,33,30-34,Microcystis,False,1
baseline_esm2,2,propep,7,5-9,Microcystis,False,1
baseline_esm2,2,propep,7,5-9,Microcystis,False,0
baseline_esm2,2,propep,7,5-9,Microcystis,False,1
baseline_esm2,2,propep,16,15-19,Echinus,False,1
baseline_esm2,2,propep,35,35-39,Gallus,False,0
baseline_esm2,2,propep,13,10-14,Gallus,False,1
baseline_esm2,2,propep,27,25-29,Gallus,False,1
baseline_esm2,2,pep,43,40-44,Moringa,False,0
baseline_esm2,2,propep,16,15-19,Moringa,False,1
baseline_esm2,2,pep,47,45-50,Paralithodes,False,0
baseline_esm2,2,propep,24,20-24,Coffea,False,0
baseline_esm2,2,pep,33,30-34,Odontomachus,False,1
baseline_esm2,2,propep,22,20-24,Odontomachus,False,1
baseline_esm2,2,pep,40,40-44,Odontomachus,False,1
baseline_esm2,2,propep,14,10-14,Odontomachus,False,1
