stratum,dRecall,lo,hi,n,sig
GEN Cyriopagopus,-0.2168,-0.2622,-0.1733,226,1
LEN 30-34,-0.1709,-0.2205,-0.1226,316,1
LEN 35-39,-0.0892,-0.1402,-0.0399,325,1
LEN 40-44,-0.089,-0.1781,-0.0068,146,1
TYPE pep,-0.08,-0.1019,-0.0597,1612,1
GEN Homo,-0.0597,-0.1231,0.0,134,0
NOV known,-0.0243,-0.0359,-0.0129,3417,1
GEN Mus,-0.0167,-0.0821,0.0496,120,0
LEN 45-50,-0.011,-0.1099,0.0879,91,0
LEN 10-14,-0.0048,-0.023,0.0139,622,0
LEN 25-29,-0.0044,-0.0295,0.0228,681,0
GEN Conus,-0.0043,-0.0362,0.0259,463,0
GEN Aplysia,0.0,-0.026,0.0597,174,0
NOV new2026,0.0,-0.0275,0.0274,492,0
LEN 5-9,0.0028,-0.0177,0.0219,704,0
LEN 15-19,0.0139,-0.0118,0.0409,431,0
TYPE propep,0.02,0.0089,0.0315,2297,1
LEN 20-24,0.0202,0.0,0.0417,593,0
GEN Drosophila,0.0263,0.0,0.0549,114,0
GEN Arabidopsis,0.0351,-0.0095,0.0809,114,0
