run,orig_peptides_precision,orig_peptides_recall,orig_peptides_f1,orig_propeptides_precision,orig_propeptides_recall,orig_propeptides_f1,orig_all_precision,orig_all_recall,orig_all_f1,corr_peptides_precision,corr_peptides_recall,corr_peptides_f1,corr_propeptides_precision,corr_propeptides_recall,corr_propeptides_f1,corr_all_precision,corr_all_recall,corr_all_f1
esm2_aho_emission_fusion,0.675916,0.529105,0.593567,0.693035,0.581949,0.632653,0.685562,0.557965,0.615217,0.686359,0.560035,0.616795,0.697714,0.594946,0.642245,0.692708,0.579177,0.630875
esm2_aho_emission_fusion_h32,0.656545,0.543799,0.594877,0.690341,0.526354,0.597296,0.674291,0.534279,0.596175,0.664622,0.569676,0.613497,0.697222,0.543682,0.610953,0.68173,0.555424,0.612129
esm2_aho_mid_fusion_raw_m64,0.722877,0.531196,0.612388,0.657736,0.549458,0.598741,0.685287,0.541158,0.604754,0.729574,0.555653,0.630846,0.663837,0.564621,0.610222,0.691744,0.56057,0.619287
esm2_aho_mid_fusion_raw_m64_pep_only,0.718398,0.491438,0.58363,0.628281,0.53574,0.578332,0.664646,0.515472,0.580631,0.721879,0.511832,0.598974,0.631711,0.543682,0.5844,0.668166,0.529295,0.590678
esm2_aho_state_bias_pep_boundary_010,0.659692,0.520417,0.581836,0.680073,0.537184,0.600242,0.670829,0.529574,0.591891,0.668099,0.545136,0.600386,0.684116,0.547292,0.608103,0.676802,0.546318,0.6046
esm2_aho_tribranch,0.602927,0.537391,0.568276,0.659259,0.578339,0.616154,0.633482,0.559763,0.594346,0.622098,0.587204,0.604148,0.666935,0.598556,0.630898,0.646121,0.593428,0.618655
esm2_boundary_bond_l002_w5_tau15,0.595784,0.566696,0.580876,0.780618,0.52886,0.630538,0.681281,0.545993,0.60618,0.606952,0.596845,0.601856,0.78178,0.532852,0.633748,0.686834,0.561758,0.618031
esm2_boundary_only_scale10,0.649324,0.541667,0.590629,0.745745,0.505772,0.602752,0.697002,0.522065,0.596981,0.667653,0.593339,0.628306,0.747357,0.510469,0.606607,0.706122,0.547902,0.617031
esm2_lora_lstmcnncrf,0.584615,0.430689,0.495984,0.6104,0.550903,0.579127,0.6,0.496445,0.543333,0.595156,0.452235,0.513944,0.617439,0.567509,0.591422,0.608411,0.515439,0.55808
esm2_telescoping_segmental,0.675,0.5625,0.613636,0.599847,0.566065,0.582467,0.631672,0.564446,0.59617,0.682927,0.588957,0.632471,0.60941,0.58917,0.599119,0.640551,0.589074,0.613735
esmc6b_boundary_bond,0.658494,0.652778,0.655623,0.77512,0.572438,0.658537,0.71422,0.608492,0.657131,0.674185,0.707274,0.690334,0.775763,0.574558,0.660171,0.721604,0.633803,0.674859
esmc_6b,0.52568,0.604692,0.562424,0.613363,0.577385,0.594831,0.569654,0.589634,0.579471,0.538913,0.643295,0.586496,0.621602,0.59788,0.60951,0.580242,0.618153,0.598598
scaling_trainfrac50,0.453965,0.432667,0.44306,0.605695,0.506859,0.551887,0.531915,0.473186,0.500835,0.471315,0.468011,0.469657,0.611064,0.518412,0.560938,0.542461,0.495645,0.517998
scaling_trainfrac60,0.528757,0.497382,0.51259,0.602107,0.536462,0.567392,0.567907,0.518767,0.542226,0.540687,0.524102,0.532265,0.610626,0.555957,0.582011,0.577947,0.541568,0.559166
scaling_trainfrac70,0.540262,0.502613,0.520758,0.578907,0.54296,0.560358,0.56147,0.524674,0.542449,0.552007,0.530237,0.540903,0.589339,0.566787,0.577843,0.572488,0.550277,0.561163
scaling_trainfrac80,0.587356,0.443576,0.50544,0.5584,0.503971,0.529791,0.570283,0.476547,0.519218,0.59435,0.460999,0.51925,0.567737,0.523466,0.544703,0.578631,0.495249,0.533703
scaling_trainfrac90,0.624242,0.538797,0.578381,0.586624,0.525632,0.554455,0.603317,0.531596,0.56519,0.631318,0.558282,0.592558,0.594466,0.54296,0.567547,0.610818,0.549881,0.57875
train_run_aft,0.464377,0.323869,0.3816,0.610845,0.277939,0.382045,0.52937,0.298603,0.381827,0.468434,0.332735,0.389093,0.611465,0.278867,0.383042,0.53169,0.30297,0.385992
train_run_aft_no_lddt,0.363781,0.408929,0.385036,0.616,0.335269,0.434211,0.457939,0.368295,0.408254,0.377138,0.434978,0.403998,0.617021,0.336964,0.435885,0.465653,0.380819,0.418985
train_run_aft_plddt70,0.065,0.074286,0.069333,0.531049,0.317136,0.397118,0.316032,0.242049,0.274137,0.065,0.074928,0.069612,0.531049,0.317136,0.397118,0.316032,0.242693,0.274549
train_run_aft_single,0.522822,0.222615,0.312268,0.605072,0.24238,0.346114,0.566731,0.233466,0.3307,0.522822,0.226009,0.315592,0.605072,0.242556,0.346293,0.566731,0.235152,0.332388
train_run_esm2,0.648649,0.565445,0.604196,0.633463,0.587726,0.609738,0.640105,0.577637,0.607269,0.657227,0.589833,0.621709,0.63908,0.602166,0.620074,0.647059,0.596595,0.620803
train_run_esm2+3di_proj,0.603352,0.564952,0.583521,0.663248,0.560289,0.607436,0.634581,0.562401,0.596315,0.617937,0.603856,0.610816,0.665251,0.565343,0.611241,0.642234,0.58274,0.611042
train_run_esm2+3di_proj_gated,0.611617,0.46777,0.530109,0.797858,0.430014,0.558837,0.697231,0.447119,0.544843,0.617713,0.48291,0.542056,0.797858,0.430325,0.559099,0.699817,0.454078,0.55078
train_run_esm2+3di_proj_gated_conv,0.664234,0.551993,0.602934,0.653012,0.587004,0.618251,0.657895,0.571091,0.611427,0.678643,0.595968,0.634624,0.657957,0.6,0.627644,0.667108,0.598179,0.630766
train_run_esm2_100,0.673988,0.505637,0.5778,0.645623,0.553791,0.596191,0.657574,0.531915,0.588107,0.682432,0.531113,0.597339,0.650332,0.565343,0.604867,0.663958,0.549881,0.601559
train_run_esm2_25,0.332759,0.354128,0.343111,0.575238,0.437681,0.497119,0.447964,0.40081,0.423077,0.369707,0.419593,0.393074,0.579245,0.444928,0.503279,0.466783,0.433794,0.449684
train_run_esm2_50,0.413675,0.443223,0.42794,0.596581,0.505797,0.547451,0.505128,0.478155,0.491272,0.437705,0.49353,0.463944,0.601351,0.515942,0.555382,0.518303,0.506093,0.512125
train_run_esm2_75,0.635153,0.566508,0.59887,0.551042,0.504771,0.526892,0.58796,0.532275,0.558734,0.645995,0.595948,0.619963,0.561546,0.526718,0.543575,0.598748,0.557499,0.577387
train_run_esm2_adamw,0.560224,0.52356,0.541272,0.64191,0.524188,0.577107,0.60218,0.523904,0.560321,0.570647,0.548642,0.559428,0.645979,0.533574,0.584421,0.609103,0.54038,0.572687
train_run_esm2_aft,0.538261,0.553172,0.545615,0.640893,0.544526,0.588792,0.589888,0.548413,0.568395,0.563322,0.61435,0.587731,0.649916,0.566423,0.605304,0.606224,0.587928,0.596936
train_run_esm2_aft_no_lddt_gated,0.545859,0.545374,0.545616,0.621577,0.546715,0.581748,0.585052,0.546111,0.564911,0.571788,0.610762,0.590633,0.631068,0.569343,0.598619,0.601978,0.587928,0.59487
train_run_esm2_aft_pair_gated,0.60609,0.547957,0.57556,0.693878,0.545985,0.611111,0.65124,0.546875,0.594512,0.620983,0.589238,0.604694,0.697525,0.555474,0.618448,0.659842,0.570624,0.611998
train_run_esm2_aft_plddt70,0.564356,0.488571,0.523737,0.605053,0.584833,0.594771,0.593365,0.554965,0.573523,0.564356,0.492795,0.526154,0.614286,0.607969,0.611111,0.600186,0.572444,0.585987
train_run_esm2_aft_single_gated,0.61211,0.577679,0.594396,0.612403,0.518978,0.561833,0.612263,0.545382,0.57689,0.624542,0.611659,0.618034,0.620253,0.536496,0.575342,0.62231,0.570221,0.595128
train_run_esm2_conv,0.551874,0.549003,0.550435,0.619984,0.54657,0.580967,0.586993,0.547675,0.566653,0.568067,0.592463,0.580009,0.627309,0.563899,0.593916,0.598357,0.576801,0.587382
train_run_esm2_only_homo,0.209964,0.100255,0.13571,0.763359,0.1443,0.242718,0.385922,0.124073,0.187777,0.227826,0.114812,0.152681,0.763359,0.144404,0.242866,0.39546,0.131037,0.196848
train_run_esm2_plus,0.636364,0.48569,0.55091,0.665728,0.511913,0.578776,0.652442,0.5,0.566139,0.644444,0.508326,0.568349,0.67098,0.524188,0.588569,0.65893,0.517023,0.579414
train_run_esm2_plus_proj_gated,0.560659,0.564572,0.562609,0.637025,0.568953,0.601068,0.600167,0.56697,0.583096,0.580298,0.614373,0.59685,0.6428,0.583394,0.611658,0.61217,0.597387,0.604688
train_run_esmc_600m,0.60483,0.480384,0.535471,0.655319,0.54417,0.594595,0.633269,0.515613,0.568417,0.610811,0.49518,0.546951,0.659091,0.553357,0.601614,0.637956,0.527387,0.577426
train_run_prostt5,0.541254,0.427083,0.477438,0.628193,0.467606,0.536132,0.587996,0.449456,0.509476,0.545256,0.438212,0.485909,0.634419,0.480282,0.546693,0.593373,0.461538,0.519218
train_run_prostt5_plus,0.545553,0.436632,0.485053,0.600779,0.434507,0.504291,0.574654,0.435459,0.495466,0.55235,0.453111,0.497833,0.604247,0.440845,0.509772,0.579615,0.44631,0.504302
uni2026_run_esm2,0.761714,0.36242,0.491152,0.724324,0.393192,0.5097,0.741029,0.378436,0.501011,0.764861,0.380671,0.508341,0.726688,0.398121,0.514416,0.743787,0.389888,0.5116
esmc6b_telescoping,0.632673,0.555169,0.591393,0.611151,0.60424,0.607676,0.620174,0.582229,0.600603,0.641892,0.582822,0.610932,0.619314,0.625442,0.622363,0.628803,0.606416,0.617407
