tag,label,frac,n_train,f1,p,r,lo,hi,n_eval
baseline,ESM-2 (базовая),40,2102,0.4983,0.4844,0.513,0.4728,0.5227,2325
baseline,ESM-2 (базовая),55,2914,0.5251,0.5068,0.5447,0.4998,0.5495,2325
baseline,ESM-2 (базовая),70,3679,0.5595,0.5863,0.535,0.5358,0.5831,2325
baseline,ESM-2 (базовая),85,4527,0.5827,0.6073,0.5601,0.5582,0.6071,2325
baseline,ESM-2 (базовая),100,5314,0.5715,0.5623,0.581,0.5468,0.5948,2325
proj,ESM-C 6B + boundary (без 3Di),40,2131,0.6756,0.6805,0.6707,0.6518,0.6984,2361
proj,ESM-C 6B + boundary (без 3Di),55,2952,0.6763,0.6847,0.6682,0.6528,0.6985,2361
proj,ESM-C 6B + boundary (без 3Di),70,3726,0.6821,0.6719,0.6925,0.6581,0.7054,2361
proj,ESM-C 6B + boundary (без 3Di),85,4586,0.6941,0.7004,0.6879,0.6699,0.7174,2361
proj,ESM-C 6B + boundary (без 3Di),100,5384,0.6936,0.6892,0.6981,0.6689,0.7171,2361
3di,ESM-C 6B + boundary + 3Di,40,2088,0.6893,0.6879,0.6907,0.6658,0.7135,2322
3di,ESM-C 6B + boundary + 3Di,55,2897,0.6741,0.6746,0.6736,0.6473,0.6985,2322
3di,ESM-C 6B + boundary + 3Di,70,3660,0.681,0.6785,0.6836,0.6535,0.7064,2322
3di,ESM-C 6B + boundary + 3Di,85,4504,0.6908,0.7074,0.6749,0.6674,0.7144,2322
3di,ESM-C 6B + boundary + 3Di,100,5287,0.6915,0.707,0.6766,0.6668,0.7157,2322
