tag,frac,n_train,f1_3,f1_2,f1_1,f1_0,retention
baseline,40,2102,0.4983,0.4492,0.3551,0.2162,0.4339
baseline,55,2914,0.5251,0.4852,0.413,0.2907,0.5537
baseline,70,3679,0.5595,0.5237,0.4496,0.3349,0.5986
baseline,85,4527,0.5827,0.5439,0.4476,0.3159,0.5421
baseline,100,5314,0.5715,0.5318,0.4433,0.3155,0.5521
proj,40,2131,0.6756,0.6355,0.5557,0.4554,0.6741
proj,55,2952,0.6763,0.642,0.5597,0.461,0.6816
proj,70,3726,0.6821,0.6506,0.5733,0.4807,0.7048
proj,85,4586,0.6941,0.6586,0.5778,0.4902,0.7062
proj,100,5384,0.6936,0.6634,0.5892,0.5053,0.7286
3di,40,2088,0.6893,0.649,0.5632,0.4577,0.6641
3di,55,2897,0.6741,0.6411,0.5602,0.4665,0.692
3di,70,3660,0.681,0.6535,0.5781,0.4919,0.7223
3di,85,4504,0.6908,0.6601,0.5821,0.4993,0.7229
3di,100,5287,0.6915,0.6596,0.5879,0.4988,0.7213
