AC,priority,label-val,between_connectivity,cluster
A0A023IWD9,False,0,0,0.0
A0A023IWE0,False,0,0,0.0
A0A023IWE1,False,0,0,0.0
A0A023IWE2,False,0,0,0.0
A0A023IWE3,False,0,0,0.0
A0A023IWG1,False,0,0,0.0
A0A023IWG2,False,0,0,0.0
A0A023IWG3,False,0,0,0.0
A0A023IWG4,False,0,0,0.0
A0A023IWI4,False,0,0,0.0
A0A023IWI5,False,0,0,0.0
A0A023IWI6,False,0,0,0.0
A0A023IWI8,False,0,0,0.0
A0A023IWK3,False,0,0,0.0
A0A023IWK4,False,0,0,0.0
A0A023IWK5,False,0,0,0.0
A0A023IWK6,False,0,0,0.0
A0A023IWK7,False,0,0,0.0
A0A023IWM4,False,0,0,0.0
A0A023IWM5,False,0,0,0.0
A0A023IWM6,False,0,0,0.0
A0A023IWM7,False,0,0,0.0
A0A023IWM8,False,0,0,0.0
A0A023UA23,False,0,0,0.0
A0A023UBA8,False,0,0,0.0
A0A023UBX6,False,0,0,0.0
A0A023UBY3,False,0,0,0.0
A0A023UCA6,False,0,0,0.0
A0A023UCC1,False,0,0,0.0
A0A023VZF1,False,0,0,1.0
A0A023VZM6,False,0,0,1.0
A0A023W082,False,0,0,1.0
A0A023W090,False,0,0,1.0
A0A023W0B6,False,0,0,2.0
A0A023W0C3,False,0,0,2.0
A0A023W0U0,False,0,0,1.0
A0A023W0V9,False,0,0,2.0
A0A023W0W9,False,0,0,2.0
A0A023W123,False,0,0,1.0
A0A023W140,False,0,0,3.0
A0A023W145,False,0,0,3.0
A0A023W157,False,0,0,2.0
A0A023W163,False,0,0,2.0
A0A023W168,False,0,0,2.0
A0A024SC78,False,0,0,4.0
A0A024SH76,False,0,0,3.0
A0A024SIB3,False,0,0,3.0
A0A059J5P2,False,0,0,0.0
A0A059T2H4,False,0,0,4.0
A0A059U8Y9,False,0,0,1.0
A0A059UI21,False,0,0,0.0
A0A059UI30,False,0,0,2.0
A0A067SLB9,False,0,0,0.0
A0A068B0Z6,False,0,0,0.0
A0A068B409,False,0,0,0.0
A0A068B6Q6,False,0,0,0.0
A0A072TRR8,False,0,0,1.0
A0A072UTP9,False,0,0,3.0
A0A072V9Z0,False,0,0,1.0
A0A077DF94,False,0,0,1.0
A0A084G2W8,False,0,0,0.0
A0A088BP94,False,0,0,0.0
A0A088MI62,False,0,0,1.0
A0A088MIT0,False,0,0,1.0
A0A088SG62,False,0,0,1.0
A0A090CRQ9,False,0,0,4.0
A0A096P2H4,False,0,0,4.0
A0A096ZEC9,False,0,0,4.0
A0A0A0V633,False,0,0,0.0
A0A0A0V662,False,0,0,0.0
A0A0A0VBR5,False,0,0,0.0
A0A0A0VBX4,False,0,0,0.0
A0A0A1I6E7,False,0,0,1.0
A0A0A1I6N9,False,0,0,1.0
A0A0A7DNP6,False,0,0,4.0
A0A0B4JDK1,False,0,0,4.0
A0A0B5A7M7,False,0,0,4.0
A0A0B5A7N1,False,0,0,4.0
A0A0B5A7N5,False,0,0,4.0
A0A0B5A7N8,False,0,0,4.0
A0A0B5A7P2,False,0,0,4.0
A0A0B5A8P4,False,0,0,4.0
A0A0B5A8P8,False,0,0,4.0
A0A0B5A8Q2,False,0,0,4.0
A0A0B5A8Q6,False,0,0,4.0
A0A0B5ABD5,False,0,0,4.0
A0A0B5ABD9,False,0,0,4.0
A0A0B5ABE4,False,0,0,4.0
A0A0B5ABE6,False,0,0,4.0
A0A0B5AC86,False,0,0,4.0
A0A0B5AC90,False,0,0,4.0
A0A0B5AC95,False,0,0,4.0
A0A0B5AC98,False,0,0,4.0
A0A0B5ADT3,False,0,0,4.0
A0A0B5ADT9,False,0,0,4.0
A0A0B5ADU4,False,0,0,4.0
A0A0B5ADV0,False,0,0,4.0
A0A0C3RR82,False,0,0,2.0
A0A0C4G489,False,0,0,1.0
A0A0C4G4L1,False,0,0,1.0
A0A0C4G5K0,False,0,0,1.0
A0A0D1CKI0,False,0,0,3.0
A0A0D1DPX0,False,0,0,3.0
A0A0D4WTV1,False,0,0,3.0
A0A0E3SVB8,False,0,0,0.0
A0A0E3SVE7,False,0,0,0.0
A0A0F7YYV0,False,0,0,4.0
A0A0F7YZQ7,False,0,0,2.0
A0A0G2K7V7,False,0,0,2.0
A0A0G3F8Z3,False,0,0,0.0
A0A0H3H546,False,0,0,2.0
A0A0K1YW63,False,0,0,2.0
A0A0K8TU78,False,0,0,0.0
A0A0K8TUE2,False,0,0,2.0
A0A0N7CSQ4,False,0,0,0.0
A0A0N7FMT9,False,0,0,1.0
A0A0N7KBN8,False,0,0,0.0
A0A0N9LWM6,False,0,0,1.0
A0A0P0UTI6,False,0,0,3.0
A0A0P0UTJ1,False,0,0,3.0
A0A0P0UTQ7,False,0,0,3.0
A0A0R4IKU3,False,0,0,3.0
A0A125S9D8,False,0,0,0.0
A0A125S9D9,False,0,0,3.0
A0A125S9E0,False,0,0,0.0
A0A125S9E1,False,0,0,0.0
A0A125S9E2,False,0,0,0.0
A0A125S9E4,False,0,0,0.0
A0A125S9E5,False,0,0,0.0
A0A125S9E6,False,0,0,0.0
A0A125S9E9,False,0,0,0.0
A0A125S9F0,False,0,0,0.0
A0A125S9F2,False,0,0,0.0
A0A125S9F3,False,0,0,0.0
A0A125S9F6,False,0,0,0.0
A0A125S9F9,False,0,0,2.0
A0A125S9G0,False,0,0,0.0
A0A125S9G2,False,0,0,2.0
A0A139GI49,False,0,0,3.0
A0A141TBR6,False,0,0,2.0
A0A142C197,False,0,0,2.0
A0A142I730,False,0,0,3.0
A0A144LUY5,False,0,0,3.0
A0A144LVL3,False,0,0,3.0
A0A144LVM3,False,0,0,3.0
A0A146F0J0,False,0,0,3.0
A0A193H2U2,False,0,0,1.0
A0A193H2X2,False,0,0,1.0
A0A193H327,False,0,0,1.0
A0A193H329,False,0,0,1.0
A0A193H356,False,0,0,1.0
A0A193H361,False,0,0,1.0
A0A193H362,False,0,0,1.0
A0A193H365,False,0,0,1.0
A0A193H395,False,0,0,1.0
A0A193H396,False,0,0,1.0
A0A193H397,False,0,0,1.0
A0A1B0GVD1,False,0,0,2.0
A0A1B7XV12,False,0,0,2.0
A0A1D0BN92,False,0,0,2.0
A0A1D0BR67,False,0,0,2.0
A0A1D0BRB0,False,0,0,0.0
A0A1D0BRC1,False,0,0,3.0
A0A1D0BZF5,False,0,0,2.0
A0A1D0BZI2,False,0,0,1.0
A0A1D0C0W1,False,0,0,3.0
A0A1D3IXJ5,False,0,0,1.0
A0A1D3IXR7,False,0,0,1.0
A0A1D3IY23,False,0,0,1.0
A0A1D5PPP7,False,0,0,3.0
A0A1D5PUP4,False,0,0,3.0
A0A1D8PQ86,False,0,0,4.0
A0A1D8PQB9,False,0,0,4.0
A0A1E1WVR9,False,0,0,1.0
A0A1I9KNP0,False,0,0,2.0
A0A1I9LMX5,False,0,0,4.0
A0A1L2F565,False,0,0,4.0
A0A1L2FZD4,False,0,0,0.0
A0A1L4BJ42,False,0,0,0.0
A0A1L4BJ46,False,0,0,4.0
