AC,cluster
A0A023IWD9,2
A0A023IWE0,2
A0A023IWE1,2
A0A023IWE2,2
A0A023IWE3,2
A0A023IWG1,2
A0A023IWG3,2
A0A023IWG4,2
A0A023IWI4,2
A0A023IWI6,2
A0A023IWI8,2
A0A023IWK3,2
A0A023IWK4,2
A0A023IWK5,2
A0A023IWK6,2
A0A023IWK7,2
A0A023IWM4,2
A0A023IWM5,2
A0A023IWM6,2
A0A023IWM7,2
A0A023IWM8,2
A0A023UA23,2
A0A023UBA8,2
A0A023UBX6,2
A0A023UBY3,2
A0A023UCA6,2
A0A023UCC1,2
A0A023VZF1,1
A0A023VZM6,1
A0A023W082,1
A0A023W090,1
A0A023W0B6,1
A0A023W0C3,1
A0A023W0U0,1
A0A023W0V9,1
A0A023W0W9,1
A0A023W123,1
A0A023W140,3
A0A023W145,3
A0A023W157,1
A0A023W163,1
A0A023W168,1
A0A024SC78,2
A0A024SH76,4
A0A024SIB3,2
A0A059J5P2,1
A0A059T2H4,1
A0A059U8Y9,1
A0A059UI21,2
A0A059UI30,3
A0A067SLB9,2
A0A068B0Z6,3
A0A068B409,3
A0A068B6Q6,3
A0A072TRR8,1
A0A072UTP9,2
A0A072V9Z0,1
A0A077DF94,1
A0A084G2W8,1
A0A088MI62,1
A0A088MIT0,1
A0A090CRQ9,0
A0A096P2H4,0
A0A096ZEC9,0
A0A0A0V662,0
A0A0A0VBR5,0
A0A0A0VBX4,4
A0A0A1I6E7,1
A0A0A1I6N9,1
A0A0A7DNP6,0
A0A0B4JDK1,0
A0A0B5A7M7,1
A0A0B5A7N1,1
A0A0B5A7N5,1
A0A0B5A7N8,1
A0A0B5A8P4,1
A0A0B5A8P8,1
A0A0B5A8Q6,1
A0A0B5ABD5,1
A0A0B5ABD9,1
A0A0B5ABE4,1
A0A0B5ABE6,1
A0A0B5AC86,1
A0A0B5AC90,1
A0A0B5AC98,1
A0A0B5ADT3,1
A0A0B5ADT9,1
A0A0B5ADU4,1
A0A0B5ADV0,1
A0A0C3RR82,4
A0A0C4G489,3
A0A0C4G4L1,1
A0A0C4G5K0,1
A0A0D1CKI0,0
A0A0D1DPX0,1
A0A0D4WTV1,3
A0A0F7YYV0,1
A0A0F7YZQ7,2
A0A0G2K7V7,3
A0A0H3H546,0
A0A0K1YW63,3
A0A0K8TU78,0
A0A0K8TUE2,3
A0A0N7CSQ4,1
A0A0N7FMT9,1
A0A0N7KBN8,3
A0A0N9LWM6,1
A0A0P0UTI6,3
A0A0P0UTJ1,3
A0A0P0UTQ7,3
A0A0R4IKU3,4
A0A125S9D8,4
A0A125S9D9,1
A0A125S9E1,0
A0A125S9E4,3
A0A125S9E5,3
A0A125S9E9,0
A0A125S9F3,4
A0A125S9F9,0
A0A125S9G2,2
A0A139GI49,2
A0A141TBR6,2
A0A142C197,3
A0A142I730,1
A0A144LUY5,4
A0A144LVL3,4
A0A144LVM3,4
A0A146F0J0,0
A0A193H2X2,1
A0A193H327,1
A0A193H329,1
A0A193H356,1
A0A193H361,1
A0A193H362,1
A0A193H365,1
A0A193H395,1
A0A193H396,1
A0A193H397,1
A0A1B0GVD1,2
A0A1B7XV12,2
A0A1D0BN92,0
A0A1D0BNA3,4
A0A1D0BR67,3
A0A1D0BRC1,0
A0A1D0BZF5,3
A0A1D0BZI2,2
A0A1D0C0W1,1
A0A1D3IXR7,1
A0A1D5PPP7,0
A0A1D5PUP4,4
A0A1E1WVR9,1
A0A1I9KNP0,3
A0A1I9LMX5,4
A0A1L2F565,4
A0A1L2FZD4,2
A0A1L4BJ46,1
A0A1M4BLT1,1
A0A1P8NVR4,0
A0A1P8NVS2,0
A0A1P8NVS3,0
A0A1P8NVS8,0
A0A1P8NVS9,0
A0A1P8NVT3,0
A0A1P8NVU1,0
A0A1P8VFM2,2
A0A1Q3EPD6,4
A0A1R3S3A8,1
A0A1S3PBB7,2
A0A1S6EK91,1
A0A218QWY8,3
A0A219CM62,0
A0A219CMY0,0
A0A286LEZ8,0
A0A291NVT7,1
A0A2D1P890,0
A0A2I6EDL2,0
A0A2I6EDL3,0
A0A2I6EDL4,0
A0A2I6EDL5,0
A0A2I6EDL7,0
A0A2I6EDM1,0
A0A2I6EDM8,0
A0A2I6EDM9,0
A0A2I6EDN0,0
A0A2I6EDN3,0
A0A2I6EDN5,0
A0A2I6EDN8,0
A0A2I8B346,2
A0A2I8B352,2
A0A2L1DGG0,2
A0A2L2DDD0,1
A0A2L2DDE6,1
A0A2R2JFI5,4
A0A2U8JCR5,1
A0A2Y9GHM8,0
A0A2Z5Z9H5,4
A0A2Z5Z9X0,4
A0A315,1
A0A318,3
A0A331,1
A0A345GPN1,4
A0A346CIA0,2
A0A346CIB2,2
A0A346CIB3,2
A0A348G5V8,1
A0A348G5V9,1
A0A348G5W0,1
