run_name,status,device,error,test:precision peptides,test:recall peptides,test:f1 peptides,test:precision propeptides,test:recall propeptides,test:f1 propeptides,test:precision all,test:recall all,test:f1 all,test:residue mcc peptides,test:residue positives peptides,test:residue total peptides,test:residue roc_auc peptides,test:residue mcc propeptides,test:residue positives propeptides,test:residue total propeptides,test:residue roc_auc propeptides,test:residue mcc all,test:residue positives all,test:residue total all,test:residue roc_auc all,test:loss,homo_test:precision peptides,homo_test:recall peptides,homo_test:f1 peptides,homo_test:precision propeptides,homo_test:recall propeptides,homo_test:f1 propeptides,homo_test:precision all,homo_test:recall all,homo_test:f1 all,homo_test:residue mcc peptides,homo_test:residue positives peptides,homo_test:residue total peptides,homo_test:residue roc_auc peptides,homo_test:residue mcc propeptides,homo_test:residue positives propeptides,homo_test:residue total propeptides,homo_test:residue roc_auc propeptides,homo_test:residue mcc all,homo_test:residue positives all,homo_test:residue total all,homo_test:residue roc_auc all,homo_test:loss
esm2_aho_emission_fusion,ok,cuda:0,,0.6759156492785794,0.529105125977411,0.5935672514619884,0.6930352536543423,0.5819494584837546,0.6326530612244898,0.685562015503876,0.5579652996845426,0.6152173913043478,0.6811330742576914,27346,309829,0.9579309275428104,0.7351306044165614,30387,309829,0.9536906306661074,0.736633993533692,57733,309829,0.9493510165299273,14.866461306810379,0.42857142857142855,0.28125,0.3396226415094339,0.5348837209302325,0.4339622641509434,0.47916666666666663,0.5,0.3764705882352941,0.42953020134228187,0.5769888295826989,778,22018,0.9571495916420975,0.7268432515873754,1316,22018,0.9344496765359587,0.6882488206937949,2094,22018,0.9459356850204608,12.162803649902344
esm2_aho_emission_fusion_h32,ok,cuda:0,,0.6565445026178011,0.5437987857762359,0.5948766603415561,0.6903409090909091,0.5263537906137185,0.5972961900860303,0.6742913973147687,0.5342789598108747,0.5961749835128599,0.6726611467076568,27346,309829,0.9598865089663903,0.7205575757259025,30387,309829,0.9661877583878782,0.7329851463200433,57733,309829,0.95907055056067,13.654104128479958,0.5,0.30303030303030304,0.37735849056603776,0.7435897435897436,0.5471698113207547,0.6304347826086957,0.6610169491525424,0.45348837209302323,0.5379310344827586,0.5987770270372067,778,22018,0.9494464051433247,0.7420516476059705,1316,22018,0.9658432227889233,0.7041554050464184,2094,22018,0.9561262836984937,11.810875415802002
esm2_aho_mid_fusion_raw_m64,ok,cuda:0,,0.722877358490566,0.5311958405545927,0.6123876123876124,0.6577355229040622,0.5494584837545127,0.5987411487018096,0.685286783042394,0.5411579361953525,0.6047535211267605,0.6627666687438976,27346,309829,0.9458198927857172,0.7077465688582716,30387,309829,0.9579956564036094,0.7073811540355881,57733,309829,0.94610878873605,15.639953628182411,0.5,0.2727272727272727,0.3529411764705882,0.6341463414634146,0.49056603773584906,0.5531914893617021,0.5932203389830508,0.4069767441860465,0.48275862068965514,0.5970089779417365,778,22018,0.9489849752370991,0.7450054301429944,1316,22018,0.9573587151763381,0.7280164639028547,2094,22018,0.953627653277296,12.52827262878418
esm2_aho_mid_fusion_raw_m64_pep_only,ok,cuda:0,,0.718397997496871,0.4914383561643836,0.5836298932384342,0.628281117696867,0.535740072202166,0.578332034294622,0.6646464646464646,0.5154719937328633,0.5806309287447605,0.6502589741634743,27346,309829,0.9413894744466562,0.7039531213550441,30387,309829,0.9451507815977027,0.6957158997713102,57733,309829,0.932373749447513,14.083290323615074,0.5,0.18181818181818182,0.26666666666666666,0.6097560975609756,0.4716981132075472,0.5319148936170213,0.5849056603773585,0.36046511627906974,0.4460431654676259,0.5814603465963866,778,22018,0.934371414462696,0.6862704920684076,1316,22018,0.9336999104971725,0.6684195132555673,2094,22018,0.935408851630465,13.514601230621338
esm2_aho_state_bias_pep_boundary_010,ok,cuda:0,,0.6596916299559471,0.5204170286707211,0.5818358426420592,0.680073126142596,0.5371841155234657,0.600242033077854,0.6708291708291708,0.5295741324921136,0.5918907007492288,0.6645926764591257,27346,309829,0.9533823327655784,0.7358147493489368,30387,309829,0.9640713036313134,0.7345156446403764,57733,309829,0.9570722598360842,12.754304245114326,0.391304347826087,0.2727272727272727,0.32142857142857145,0.7105263157894737,0.5094339622641509,0.5934065934065935,0.5901639344262295,0.4186046511627907,0.4897959183673469,0.5794180930711614,778,22018,0.9470243368722737,0.739835294326697,1316,22018,0.961776632597059,0.7044482827179052,2094,22018,0.9526717764371853,12.734529495239258
esm2_aho_transition_bias_sparse_trainable_zero,ok,cuda:0,,0.6064171122994653,0.4921875,0.5433636799233349,0.6482504604051565,0.5083032490974729,0.5698097936058276,0.6288965858485898,0.5009854158454868,0.5577007459412022,0.655616008979755,27233,309829,0.868616119019338,0.7225960204154227,30390,309829,0.6905365138334602,0.719521739276343,57623,309829,0.8232507835165642,14.451005950570107,0.35,0.21212121212121213,0.26415094339622636,0.6285714285714286,0.41509433962264153,0.5000000000000001,0.5272727272727272,0.3372093023255814,0.41134751773049644,0.5207091756383416,712,22018,0.8973473210584771,0.6624928689615008,1316,22018,0.5919684316068312,0.6545652184880882,2028,22018,0.7204515472726502,13.319692611694336
esm2_aho_tribranch,ok,cuda:0,,0.6029268292682927,0.5373913043478261,0.5682758620689655,0.6592592592592592,0.5783393501805054,0.6161538461538462,0.6334821428571429,0.5597633136094674,0.5943455497382198,0.6723007949266218,27346,309829,0.9575663438968063,0.7077791139870477,30387,309829,0.9606332789755148,0.7384901350720675,57733,309829,0.9600029149351982,25.37406075000763,0.3939393939393939,0.40625,0.4,0.6756756756756757,0.4716981132075472,0.5555555555555556,0.5428571428571428,0.4470588235294118,0.49032258064516127,0.5933199955500597,778,22018,0.9479828099961755,0.7247857938905677,1316,22018,0.9418715950091016,0.6874499877072817,2094,22018,0.9556160592678157,16.312811851501465
esm2_bond_loss_soft_l005_w5_tau15,ok,cuda:0,,0.6029723991507431,0.49391304347826087,0.5430210325047801,0.6507352941176471,0.5111913357400723,0.5725839061868176,0.6285714285714286,0.5033530571992111,0.5590361445783133,0.6635196326146424,27181,309829,0.8602910953617161,0.6891758134100631,30390,309829,0.6321295902831668,0.720315505693387,57571,309829,0.784690911564466,14.230134099721909,0.4375,0.21212121212121213,0.2857142857142857,0.6904761904761905,0.5471698113207547,0.6105263157894737,0.6206896551724138,0.4186046511627907,0.5,0.6138911699523563,762,22018,0.9040209242756962,0.7327097720471321,1316,22018,0.5400422745229085,0.7141807639467742,2078,22018,0.6943344229029726,13.21904468536377
esm2_boundary_bond_l002_w5_tau15,ok,cuda:0,,0.5957836846929423,0.5666957279860506,0.5808757819481679,0.7806176783812566,0.5288600288600288,0.6305376344086022,0.68128078817734,0.545992893801816,0.606180144641683,0.7026971253834691,27346,309829,0.9753934558529267,0.6737263776672316,30387,309829,0.9610710887271601,0.7392253090135954,57733,309829,0.9641866869942323,8.702747479081154,0.3103448275862069,0.28125,0.2950819672131148,0.7941176470588235,0.5094339622641509,0.6206896551724137,0.5714285714285714,0.4235294117647059,0.4864864864864864,0.5404298213436999,778,22018,0.95300973329654,0.7211295379419643,1316,22018,0.9575165857725154,0.6821373622819281,2094,22018,0.952040269739432,8.359415054321289
esm2_boundary_only_scale10,ok,cuda:0,,0.6493236212278877,0.5416666666666666,0.5906294368196877,0.7457446808510638,0.5057720057720058,0.6027515047291487,0.6970015781167807,0.5220646178092987,0.5969813020950665,0.6642139315879585,27346,309829,0.9756095725545674,0.6970269817583954,30387,309829,0.9687946209702296,0.739462407026705,57733,309829,0.971483391354895,8.579863160848618,0.4,0.24242424242424243,0.30188679245283023,0.7575757575757576,0.4716981132075472,0.5813953488372093,0.6226415094339622,0.38372093023255816,0.4748201438848922,0.5275206779172807,778,22018,0.9451195542193755,0.7301921499854093,1316,22018,0.9688053428019965,0.705028693320221,2094,22018,0.9644776224150339,8.681790113449097
