AC,cluster
A0A023IWD9,1
A0A023IWE0,1
A0A023IWE1,1
A0A023IWE2,1
A0A023IWE3,1
A0A023IWG1,1
A0A023IWG2,1
A0A023IWG3,1
A0A023IWG4,1
A0A023IWI4,1
A0A023IWI6,1
A0A023IWI8,1
A0A023IWK3,1
A0A023IWK4,1
A0A023IWK5,1
A0A023IWK6,1
A0A023IWK7,1
A0A023IWM4,1
A0A023IWM5,1
A0A023IWM6,1
A0A023IWM7,1
A0A023IWM8,1
A0A023UA23,1
A0A023UBA8,1
A0A023UBX6,1
A0A023UBY3,1
A0A023UCA6,1
A0A023UCC1,1
A0A023VZF1,1
A0A023VZM6,1
A0A023W082,1
A0A023W090,1
A0A023W0B6,1
A0A023W0C3,1
A0A023W0U0,1
A0A023W0V9,1
A0A023W0W9,1
A0A023W123,1
A0A023W140,3
A0A023W145,3
A0A023W157,1
A0A023W163,1
A0A023W168,1
A0A024SC78,1
A0A024SH76,5
A0A024SIB3,1
A0A059J5P2,5
A0A059UI30,2
A0A067SLB9,1
A0A068B0Z6,2
A0A068B409,2
A0A068B6Q6,2
A0A072TRR8,3
A0A072UTP9,1
A0A072V9Z0,3
A0A077DF94,2
A0A084G2W8,5
A0A088MIT0,1
A0A090CRQ9,0
A0A096P2H4,1
A0A096ZEC9,4
A0A0A0V662,0
A0A0A0VBR5,0
A0A0A0VBX4,0
A0A0A1I6E7,0
A0A0A7DNP6,0
A0A0B4JDK1,0
A0A0B5A7M7,6
A0A0B5A7N1,6
A0A0B5A7N5,6
A0A0B5A7N8,6
A0A0B5A8P8,6
A0A0B5A8Q6,6
A0A0B5ABD5,6
A0A0B5ABD9,6
A0A0B5ABE4,6
A0A0B5ABE6,6
A0A0B5AC90,6
A0A0B5AC98,6
A0A0B5ADT3,6
A0A0B5ADT9,6
A0A0B5ADU4,6
A0A0C3RR82,3
A0A0C4G489,0
A0A0C4G4L1,2
A0A0D1CKI0,0
A0A0D1DPX0,1
A0A0D4WTV1,2
