run,protein_id,organism,task,kind,length,matched
train_run_esm2+3di_proj_gated_conv,Q99109,Ustilago maydis,peptides,true,34,False
train_run_esm2+3di_proj_gated_conv,Q99109,Ustilago maydis,peptides,true,36,False
train_run_esm2+3di_proj_gated_conv,Q99109,Ustilago maydis,peptides,true,35,False
train_run_esm2+3di_proj_gated_conv,Q99109,Ustilago maydis,peptides,true,34,False
train_run_esm2+3di_proj_gated_conv,Q99109,Ustilago maydis,peptides,true,35,False
train_run_esm2+3di_proj_gated_conv,Q99109,Ustilago maydis,peptides,true,45,False
train_run_esm2+3di_proj_gated_conv,Q99109,Ustilago maydis,peptides,true,34,False
train_run_esm2+3di_proj_gated_conv,Q99109,Ustilago maydis,peptides,true,35,False
train_run_esm2+3di_proj_gated_conv,Q99109,Ustilago maydis,peptides,true,35,False
train_run_esm2+3di_proj_gated_conv,Q86UU9,Homo sapiens,peptides,true,47,True
train_run_esm2+3di_proj_gated_conv,Q86UU9,Homo sapiens,peptides,true,14,True
train_run_esm2+3di_proj_gated_conv,Q86UU9,Homo sapiens,propeptides,true,9,True
train_run_esm2+3di_proj_gated_conv,Q86UU9,Homo sapiens,propeptides,true,16,True
train_run_esm2+3di_proj_gated_conv,G0W2H8,Bunodosoma granuliferum,propeptides,true,8,True
train_run_esm2+3di_proj_gated_conv,G0W2H9,Bunodosoma granuliferum,peptides,fp_pred,39,False
train_run_esm2+3di_proj_gated_conv,G0W2H9,Bunodosoma granuliferum,propeptides,true,8,True
train_run_esm2+3di_proj_gated_conv,P26738,Bombyx mori,peptides,true,26,True
train_run_esm2+3di_proj_gated_conv,P26738,Bombyx mori,peptides,true,21,True
train_run_esm2+3di_proj_gated_conv,P26738,Bombyx mori,propeptides,true,19,True
train_run_esm2+3di_proj_gated_conv,D2DGD4,Conus caracteristicus,peptides,true,34,True
train_run_esm2+3di_proj_gated_conv,D2DGD4,Conus caracteristicus,propeptides,true,23,True
train_run_esm2+3di_proj_gated_conv,P01327,Chinchilla chinchilla,peptides,true,30,True
train_run_esm2+3di_proj_gated_conv,P01327,Chinchilla chinchilla,peptides,true,21,False
train_run_esm2+3di_proj_gated_conv,P01327,Chinchilla chinchilla,peptides,fp_pred,46,False
train_run_esm2+3di_proj_gated_conv,P01327,Chinchilla chinchilla,propeptides,true,31,False
train_run_esm2+3di_proj_gated_conv,Q86YL7,Homo sapiens,peptides,true,12,False
train_run_esm2+3di_proj_gated_conv,P53872,Saccharomyces cerevisiae,propeptides,true,30,True
train_run_esm2+3di_proj_gated_conv,Q5A5K7,Candida albicans,propeptides,true,29,False
train_run_esm2+3di_proj_gated_conv,Q5A5K7,Candida albicans,propeptides,fp_pred,8,False
train_run_esm2+3di_proj_gated_conv,Q5A5K7,Candida albicans,propeptides,fp_pred,18,False
train_run_esm2+3di_proj_gated_conv,Q59Y11,Candida albicans,propeptides,true,26,True
train_run_esm2+3di_proj_gated_conv,P52718,Aspergillus niger,propeptides,true,27,True
train_run_esm2+3di_proj_gated_conv,Q5ABW2,Candida albicans,propeptides,true,22,True
train_run_esm2+3di_proj_gated_conv,P13696,Bos taurus,peptides,true,11,False
train_run_esm2+3di_proj_gated_conv,P13696,Bos taurus,propeptides,fp_pred,5,False
train_run_esm2+3di_proj_gated_conv,Q3YIX4,Canis lupus familiaris,peptides,true,12,False
train_run_esm2+3di_proj_gated_conv,Q3YIX4,Canis lupus familiaris,propeptides,fp_pred,5,False
train_run_esm2+3di_proj_gated_conv,P30086,Homo sapiens,peptides,true,11,False
train_run_esm2+3di_proj_gated_conv,P30086,Homo sapiens,propeptides,fp_pred,5,False
train_run_esm2+3di_proj_gated_conv,P48737,Macaca fascicularis,peptides,true,12,False
train_run_esm2+3di_proj_gated_conv,P48737,Macaca fascicularis,propeptides,fp_pred,5,False
train_run_esm2+3di_proj_gated_conv,P70296,Mus musculus,peptides,true,11,False
train_run_esm2+3di_proj_gated_conv,P70296,Mus musculus,propeptides,fp_pred,5,False
train_run_esm2+3di_proj_gated_conv,Q5R4R0,Pongo abelii,peptides,true,12,False
train_run_esm2+3di_proj_gated_conv,Q5R4R0,Pongo abelii,propeptides,fp_pred,5,False
train_run_esm2+3di_proj_gated_conv,Q8MK67,Oryctolagus cuniculus,peptides,true,12,False
train_run_esm2+3di_proj_gated_conv,Q8MK67,Oryctolagus cuniculus,propeptides,fp_pred,5,False
train_run_esm2+3di_proj_gated_conv,P31044,Rattus norvegicus,peptides,true,11,False
train_run_esm2+3di_proj_gated_conv,P31044,Rattus norvegicus,propeptides,fp_pred,5,False
train_run_esm2+3di_proj_gated_conv,P52719,Aspergillus phoenicis,propeptides,true,34,False
train_run_esm2+3di_proj_gated_conv,Q9FZ54,Arabidopsis thaliana,peptides,true,15,False
train_run_esm2+3di_proj_gated_conv,Q9FZ54,Arabidopsis thaliana,peptides,fp_pred,18,False
train_run_esm2+3di_proj_gated_conv,Q9FZ54,Arabidopsis thaliana,peptides,fp_pred,9,False
train_run_esm2+3di_proj_gated_conv,Q9FZ54,Arabidopsis thaliana,propeptides,fp_pred,16,False
train_run_esm2+3di_proj_gated_conv,Q9FZ54,Arabidopsis thaliana,propeptides,fp_pred,23,False
train_run_esm2+3di_proj_gated_conv,Q52K95,Arabidopsis thaliana,peptides,true,15,True
train_run_esm2+3di_proj_gated_conv,Q52K95,Arabidopsis thaliana,peptides,fp_pred,16,False
train_run_esm2+3di_proj_gated_conv,Q52K95,Arabidopsis thaliana,propeptides,fp_pred,20,False
train_run_esm2+3di_proj_gated_conv,P69560,Spinacia oleracea,propeptides,true,9,False
train_run_esm2+3di_proj_gated_conv,P69560,Spinacia oleracea,propeptides,fp_pred,7,False
train_run_esm2+3di_proj_gated_conv,P32036,Cuscuta reflexa,propeptides,true,9,False
train_run_esm2+3di_proj_gated_conv,P32036,Cuscuta reflexa,propeptides,fp_pred,8,False
train_run_esm2+3di_proj_gated_conv,O18495,Styela clava,peptides,true,32,False
train_run_esm2+3di_proj_gated_conv,O18495,Styela clava,propeptides,true,26,False
train_run_esm2+3di_proj_gated_conv,F8S0Z7,Crotalus adamanteus,propeptides,true,24,True
train_run_esm2+3di_proj_gated_conv,B6EWW8,Gloydius brevicaudus,propeptides,true,24,True
train_run_esm2+3di_proj_gated_conv,Q5AJC0,Candida albicans,propeptides,true,30,False
train_run_esm2+3di_proj_gated_conv,Q5AJC0,Candida albicans,propeptides,fp_pred,26,False
train_run_esm2+3di_proj_gated_conv,P07911,Homo sapiens,propeptides,true,26,True
train_run_esm2+3di_proj_gated_conv,P48733,Bos taurus,propeptides,true,22,False
train_run_esm2+3di_proj_gated_conv,P48733,Bos taurus,propeptides,fp_pred,27,False
train_run_esm2+3di_proj_gated_conv,Q862Z3,Canis lupus familiaris,propeptides,true,22,False
train_run_esm2+3di_proj_gated_conv,Q862Z3,Canis lupus familiaris,propeptides,fp_pred,27,False
train_run_esm2+3di_proj_gated_conv,Q91X17,Mus musculus,propeptides,true,24,True
train_run_esm2+3di_proj_gated_conv,Q5R5C1,Pongo abelii,propeptides,true,27,True
train_run_esm2+3di_proj_gated_conv,P27590,Rattus norvegicus,propeptides,true,29,True
train_run_esm2+3di_proj_gated_conv,Q5USN7,Viola odorata,peptides,true,29,True
train_run_esm2+3di_proj_gated_conv,Q5USN7,Viola odorata,peptides,true,29,True
train_run_esm2+3di_proj_gated_conv,Q5USN7,Viola odorata,peptides,true,29,True
train_run_esm2+3di_proj_gated_conv,Q5USN7,Viola odorata,propeptides,true,46,True
train_run_esm2+3di_proj_gated_conv,Q5USN7,Viola odorata,propeptides,true,25,True
train_run_esm2+3di_proj_gated_conv,Q5USN7,Viola odorata,propeptides,true,25,True
train_run_esm2+3di_proj_gated_conv,Q5USN7,Viola odorata,propeptides,fp_pred,5,False
train_run_esm2+3di_proj_gated_conv,P0C8W1,Hoffmannihadrurus gertschi,peptides,true,13,True
train_run_esm2+3di_proj_gated_conv,P0C8W1,Hoffmannihadrurus gertschi,propeptides,true,32,True
