model,fold,protein,task,length,lbin,genus,new,matched
baseline_esm2,2,A0A059UI30,propep,8,5-9,Mesobuthus,False,0
baseline_esm2,2,A0A068B0Z6,pep,16,15-19,Conus,True,1
baseline_esm2,2,A0A068B409,pep,22,20-24,Conus,True,0
baseline_esm2,2,A0A068B6Q6,pep,16,15-19,Conus,True,0
baseline_esm2,2,A0A077DF94,pep,14,10-14,Danio,True,0
baseline_esm2,2,A0A077DF94,propep,8,5-9,Danio,True,0
baseline_esm2,2,A0A077DF94,propep,26,25-29,Danio,True,1
baseline_esm2,2,A0A0C4G4L1,pep,13,10-14,Heterometrus,False,1
baseline_esm2,2,A0A0C4G4L1,propep,28,25-29,Heterometrus,False,1
baseline_esm2,2,A0A0D4WTV1,propep,9,5-9,Loxosceles,True,0
baseline_esm2,2,A0A0P0UTI6,pep,27,25-29,Heteractis,True,1
baseline_esm2,2,A0A0P0UTI6,pep,27,25-29,Heteractis,True,1
baseline_esm2,2,A0A0P0UTI6,pep,27,25-29,Heteractis,True,1
baseline_esm2,2,A0A0P0UTI6,pep,27,25-29,Heteractis,True,0
baseline_esm2,2,A0A0P0UTI6,propep,15,15-19,Heteractis,True,1
baseline_esm2,2,A0A0P0UTI6,propep,7,5-9,Heteractis,True,1
baseline_esm2,2,A0A0P0UTI6,propep,7,5-9,Heteractis,True,1
baseline_esm2,2,A0A0P0UTI6,propep,7,5-9,Heteractis,True,0
baseline_esm2,2,A0A0P0UTI6,propep,12,10-14,Heteractis,True,1
baseline_esm2,2,A0A0P0UTQ7,pep,28,25-29,Heteractis,True,1
baseline_esm2,2,A0A0P0UTQ7,pep,28,25-29,Heteractis,True,0
baseline_esm2,2,A0A0P0UTQ7,propep,11,10-14,Heteractis,True,1
baseline_esm2,2,A0A0R4IKU3,propep,24,20-24,Danio,False,1
baseline_esm2,2,A0A125S9E1,pep,13,10-14,Conus,False,0
baseline_esm2,2,A0A125S9E1,propep,27,25-29,Conus,False,0
baseline_esm2,2,A0A125S9G2,pep,25,25-29,Conus,False,0
baseline_esm2,2,A0A125S9G2,propep,27,25-29,Conus,False,0
baseline_esm2,2,A0A139GI49,pep,11,10-14,Microcystis,False,1
baseline_esm2,2,A0A139GI49,pep,11,10-14,Microcystis,False,0
baseline_esm2,2,A0A139GI49,pep,11,10-14,Microcystis,False,0
baseline_esm2,2,A0A139GI49,propep,33,30-34,Microcystis,False,1
baseline_esm2,2,A0A139GI49,propep,7,5-9,Microcystis,False,1
baseline_esm2,2,A0A139GI49,propep,7,5-9,Microcystis,False,0
baseline_esm2,2,A0A139GI49,propep,7,5-9,Microcystis,False,1
baseline_esm2,2,A0A144LVM3,propep,16,15-19,Echinus,False,1
baseline_esm2,2,A0A1D5PPP7,propep,35,35-39,Gallus,False,0
