model,fold,protein,task,length,m3
adapter256,2,A0A059UI30,propep,8,0
adapter256,2,A0A068B0Z6,pep,16,1
adapter256,2,A0A068B409,pep,22,0
adapter256,2,A0A068B6Q6,pep,16,1
adapter256,2,A0A077DF94,pep,14,0
adapter256,2,A0A077DF94,propep,8,0
adapter256,2,A0A077DF94,propep,26,0
adapter256,2,A0A0C4G4L1,pep,13,1
adapter256,2,A0A0C4G4L1,propep,28,1
adapter256,2,A0A0D4WTV1,propep,9,1
adapter256,2,A0A0P0UTI6,pep,27,1
adapter256,2,A0A0P0UTI6,pep,27,1
adapter256,2,A0A0P0UTI6,pep,27,1
adapter256,2,A0A0P0UTI6,pep,27,1
adapter256,2,A0A0P0UTI6,propep,15,1
adapter256,2,A0A0P0UTI6,propep,7,1
adapter256,2,A0A0P0UTI6,propep,7,1
adapter256,2,A0A0P0UTI6,propep,7,1
adapter256,2,A0A0P0UTI6,propep,12,1
adapter256,2,A0A0P0UTQ7,pep,28,1
adapter256,2,A0A0P0UTQ7,pep,28,1
adapter256,2,A0A0P0UTQ7,propep,11,0
adapter256,2,A0A0R4IKU3,propep,24,1
adapter256,2,A0A125S9E1,pep,13,0
adapter256,2,A0A125S9E1,propep,27,0
adapter256,2,A0A125S9G2,pep,25,0
adapter256,2,A0A125S9G2,propep,27,0
adapter256,2,A0A139GI49,pep,11,1
adapter256,2,A0A139GI49,pep,11,1
adapter256,2,A0A139GI49,pep,11,1
adapter256,2,A0A139GI49,propep,33,1
adapter256,2,A0A139GI49,propep,7,0
adapter256,2,A0A139GI49,propep,7,0
adapter256,2,A0A139GI49,propep,7,1
adapter256,2,A0A144LVM3,propep,16,0
adapter256,2,A0A1D5PPP7,propep,35,1
adapter256,2,A0A1D5PPP7,propep,13,0
adapter256,2,A0A1D5PUP4,propep,27,0
adapter256,2,A0A1S6EK91,pep,43,0
adapter256,2,A0A1S6EK91,propep,16,1
adapter256,2,A0A2I8B352,pep,47,0
adapter256,2,A0A318,propep,24,0
adapter256,2,A0A348G5V8,pep,33,1
adapter256,2,A0A348G5V8,propep,22,1
adapter256,2,A0A348G5V9,pep,40,1
adapter256,2,A0A348G5V9,propep,14,1
adapter256,2,A0A348G5W0,pep,29,1
adapter256,2,A0A348G5W0,propep,14,1
adapter256,2,A0A348G5W2,pep,36,1
adapter256,2,A0A348G5W2,propep,22,1
adapter256,2,A0A348G6I7,pep,17,1
adapter256,2,A0A348G6I7,propep,18,1
adapter256,2,A0A348G6I9,pep,29,1
adapter256,2,A0A348G6I9,propep,14,1
adapter256,2,A0A348G6J1,pep,25,0
adapter256,2,A0A348G6J1,propep,18,1
adapter256,2,A0A3G3C7R5,pep,11,1
adapter256,2,A0A3G3C7R5,propep,27,1
adapter256,2,A0A3G3C7S0,pep,18,1
adapter256,2,A0A3G3C7S0,propep,25,1
adapter256,2,A0A3G3C7S2,pep,15,1
adapter256,2,A0A3G3C7S2,propep,27,0
adapter256,2,A0A3G3C7S9,pep,16,1
adapter256,2,A0A3G3C7S9,propep,23,1
adapter256,2,A0A3G3C7U4,pep,17,1
adapter256,2,A0A3G3C7U4,propep,23,1
adapter256,2,A0A3G3C7V0,pep,16,1
adapter256,2,A0A3G3C7V0,propep,23,1
adapter256,2,A0A3G6IHA6,pep,30,1
adapter256,2,A0A6G9KHD1,pep,14,1
adapter256,2,A0A6G9KHD1,propep,8,1
adapter256,2,A0A6G9KHD6,pep,29,1
adapter256,2,A0A6G9KHD6,propep,26,1
adapter256,2,A0A6G9KHE4,pep,20,1
adapter256,2,A0A6G9KIR5,pep,26,1
adapter256,2,A0A6G9KIR5,propep,10,1
adapter256,2,A0A6G9KJK9,pep,29,1
adapter256,2,A0A6G9KJK9,propep,26,1
adapter256,2,A0A6G9KJV6,pep,28,1
adapter256,2,A0A6G9KJV6,propep,26,1
adapter256,2,A0A6M3Z4D9,pep,21,0
adapter256,2,A0A6M3Z4D9,propep,10,1
adapter256,2,A0A6M3Z4R1,pep,23,1
adapter256,2,A0A6M3Z4R1,propep,26,1
adapter256,2,A0A6M3Z4R4,pep,10,1
adapter256,2,A0A6M3Z4R4,propep,26,1
adapter256,2,A0A8U0LTF0,pep,26,1
adapter256,2,A0A8U0LTF0,propep,26,1
adapter256,2,A0A8U0LTY4,pep,27,1
adapter256,2,A0A8U0LTY4,propep,28,1
adapter256,2,A0A976XKR0,propep,45,1
adapter256,2,A0SE59,pep,17,1
adapter256,2,A0SE59,propep,27,1
adapter256,2,A0SE60,pep,17,1
adapter256,2,A0SE60,propep,25,1
adapter256,2,A0T099,propep,7,1
adapter256,2,A0T0S8,propep,7,1
adapter256,2,A0ZZ18,propep,24,0
adapter256,2,A1E9Q7,propep,24,1
adapter256,2,A1E9Z1,propep,25,0
adapter256,2,A1R6Q7,propep,46,1
adapter256,2,A1SK13,propep,48,1
adapter256,2,A1X8B8,pep,19,1
adapter256,2,A1X8B8,propep,28,1
adapter256,2,A1X8B9,pep,20,1
adapter256,2,A1X8B9,propep,27,1
adapter256,2,A1X8C2,pep,23,1
adapter256,2,A1X8C2,propep,20,1
adapter256,2,A1X8C3,pep,23,1
adapter256,2,A1X8C3,propep,20,1
adapter256,2,A1X8C6,pep,21,0
adapter256,2,A1X8D0,pep,16,1
adapter256,2,A1X8D8,pep,16,1
adapter256,2,A1X8D9,pep,15,1
adapter256,2,A2BP71,propep,9,1
adapter256,2,A2BUQ3,propep,9,1
adapter256,2,A2C0A5,propep,10,1
adapter256,2,A2CCL2,propep,10,1
adapter256,2,A3DT44,pep,29,0
adapter256,2,A3PAZ3,propep,9,1
adapter256,2,A4USB4,propep,8,1
adapter256,2,A4X3P0,propep,48,1
adapter256,2,A5GIE8,propep,10,1
adapter256,2,A5GWF4,propep,10,1
adapter256,2,A5LHX3,propep,49,1
adapter256,2,A6LHQ9,propep,26,0
adapter256,2,A6M934,pep,17,1
adapter256,2,A6M934,propep,27,1
adapter256,2,A6M938,pep,17,1
adapter256,2,A6MFK7,propep,20,1
adapter256,2,A6MFK7,propep,47,1
adapter256,2,A6MFK8,propep,20,1
adapter256,2,A6MFK8,propep,45,1
adapter256,2,A6P331,pep,9,0
adapter256,2,A6YRN9,propep,26,0
adapter256,2,A6ZL22,propep,23,1
adapter256,2,A6ZY20,propep,25,1
adapter256,2,A7GT16,propep,15,0
adapter256,2,A7SRR3,propep,28,1
adapter256,2,A7Z6W8,propep,16,0
adapter256,2,A8FFD9,propep,16,0
adapter256,2,A8G2T2,propep,9,1
adapter256,2,A9VHU8,propep,15,0
adapter256,2,A9XDG0,propep,23,1
adapter256,2,A9XDG1,propep,23,1
adapter256,2,A9XDG2,propep,23,1
adapter256,2,A9XDG3,propep,23,1
adapter256,2,B0BK71,propep,35,0
adapter256,2,B0BK72,propep,39,0
adapter256,2,B0JSW8,propep,8,1
adapter256,2,B0XT09,propep,32,1
adapter256,2,B0XT72,propep,33,1
adapter256,2,B0XVI5,propep,29,0
adapter256,2,B0Y8H9,propep,24,1
adapter256,2,B1P1H5,pep,35,1
adapter256,2,B1P1H5,propep,25,1
adapter256,2,B1WUL2,propep,8,1
adapter256,2,B1XMN4,propep,8,1
adapter256,2,B2CJ57,pep,9,1
adapter256,2,B2CJ57,pep,9,1
adapter256,2,B2CJ57,pep,9,1
adapter256,2,B2CJ57,pep,9,1
adapter256,2,B2CJ57,propep,20,1
adapter256,2,B2CJ57,propep,18,1
adapter256,2,B2CJ57,propep,18,1
adapter256,2,B2CJ57,propep,18,1
adapter256,2,B2J4T9,propep,8,1
adapter256,2,B2KKV6,propep,8,1
adapter256,2,B2KKV7,propep,8,1
adapter256,2,B2KKV8,propep,8,1
adapter256,2,B2KKW0,propep,8,1
adapter256,2,B2RH54,propep,28,1
adapter256,2,B2RH58,propep,26,1
adapter256,2,B2Y1W5,propep,19,1
adapter256,2,B3EWS9,pep,19,0
adapter256,2,B3EWS9,pep,19,0
adapter256,2,B3H5A9,pep,15,1
adapter256,2,B3H5A9,pep,15,1
adapter256,2,B3H5A9,propep,22,1
adapter256,2,B3H5A9,propep,14,1
adapter256,2,B3H5A9,propep,9,1
adapter256,2,B5G6G5,propep,20,1
adapter256,2,B5G6G5,propep,28,0
adapter256,2,B5VE42,propep,23,1
adapter256,2,B6D434,pep,30,1
adapter256,2,B6DT16,pep,14,1
adapter256,2,B6DT16,pep,14,1
adapter256,2,B6DT16,pep,14,1
adapter256,2,B6DT16,propep,12,0
adapter256,2,B6DT16,propep,11,0
adapter256,2,B6K9M7,propep,40,0
adapter256,2,B6KAM0,propep,18,0
adapter256,2,B6S2X0,pep,34,1
adapter256,2,B6S2X2,pep,30,0
adapter256,2,B7HCU7,propep,15,0
adapter256,2,B7HPM0,propep,15,0
adapter256,2,B7IYH4,propep,15,0
adapter256,2,B7JNV3,propep,15,0
adapter256,2,B7JVQ3,propep,8,1
adapter256,2,B7K989,propep,8,1
adapter256,2,B8H8L6,propep,50,1
adapter256,2,B8HTR1,propep,8,1
adapter256,2,B8JLQ9,propep,24,1
adapter256,2,B8XH40,propep,7,0
adapter256,2,B8XH50,pep,10,1
adapter256,2,B8XH50,propep,31,1
adapter256,2,B9IY88,propep,15,0
adapter256,2,C0HJV6,propep,43,1
adapter256,2,C0HJV7,propep,47,1
adapter256,2,C0HJV8,propep,47,1
adapter256,2,C0HKF6,pep,16,1
adapter256,2,C0HKF6,propep,30,1
adapter256,2,C0HKS1,pep,15,0
adapter256,2,C0HKS1,pep,13,1
adapter256,2,C0HKT2,pep,11,1
adapter256,2,C0HKT3,pep,31,1
adapter256,2,C0HKT3,propep,47,1
adapter256,2,C0HKT3,propep,5,0
adapter256,2,C0HKY1,pep,14,0
adapter256,2,C0HKY1,pep,19,1
adapter256,2,C0HKY1,pep,33,0
adapter256,2,C0HKY1,pep,14,1
adapter256,2,C0HKY1,pep,22,0
adapter256,2,C0HKY1,pep,12,1
adapter256,2,C0HKY1,pep,22,1
adapter256,2,C0KYC3,pep,13,1
adapter256,2,C0KYC3,propep,22,0
adapter256,2,C0KYC4,pep,13,1
adapter256,2,C0KYC4,propep,10,1
adapter256,2,C0KYC5,pep,15,1
adapter256,2,C0KYC5,propep,22,1
adapter256,2,C0KYC6,pep,14,1
adapter256,2,C0KYC6,propep,22,0
adapter256,2,C0L2T8,propep,19,0
adapter256,2,C0L2T8,propep,5,0
adapter256,2,C1ESL5,propep,15,0
adapter256,2,C3L5S4,propep,15,0
adapter256,2,C3P8M7,propep,15,0
adapter256,2,C5BVA2,propep,47,1
adapter256,2,C5D4U8,propep,15,0
adapter256,2,C5J886,pep,13,1
adapter256,2,C5J886,propep,31,1
adapter256,2,C5J887,pep,14,1
adapter256,2,C5J887,propep,29,1
adapter256,2,C6FX52,pep,12,1
adapter256,2,C6KSX0,propep,25,1
adapter256,2,C6ZJQ2,pep,19,1
adapter256,2,C6ZJQ2,propep,28,1
adapter256,2,C7DQB9,pep,46,1
adapter256,2,C7DQB9,propep,9,1
adapter256,2,C7DQC0,pep,34,1
adapter256,2,C7DQC0,propep,5,0
adapter256,2,C7DQC1,pep,27,1
adapter256,2,C7DQC1,propep,11,0
adapter256,2,C7DQC2,pep,31,1
adapter256,2,C7DQC2,propep,10,1
adapter256,2,C7DQX6,pep,31,1
adapter256,2,C7DQX6,propep,11,1
adapter256,2,C7DQX8,pep,32,1
adapter256,2,C7DQX8,propep,13,1
adapter256,2,C7DQX9,pep,33,1
adapter256,2,C7DQX9,propep,13,1
adapter256,2,C7DQY0,pep,44,0
adapter256,2,C7DQY0,propep,14,0
adapter256,2,C7GQJ1,propep,23,1
adapter256,2,C7LYP7,propep,50,0
adapter256,2,C7R403,propep,50,1
adapter256,2,C9E1R9,propep,12,0
adapter256,2,C9E1S1,propep,20,0
adapter256,2,D1BHT9,propep,50,0
adapter256,2,D2DGD3,pep,38,1
adapter256,2,D2DGD3,propep,23,1
adapter256,2,D2DGD8,pep,41,0
adapter256,2,D2DGD8,propep,23,0
adapter256,2,D2DGD9,pep,39,0
adapter256,2,D2DGD9,propep,23,0
adapter256,2,D2Y2C5,pep,34,0
adapter256,2,D2Y2C5,propep,24,1
adapter256,2,D2Y2C6,pep,34,1
adapter256,2,D2Y2C6,propep,24,1
adapter256,2,D2Y2C7,pep,34,0
adapter256,2,D2Y2C7,propep,24,1
adapter256,2,D2Y2C8,pep,34,0
adapter256,2,D2Y2C8,propep,24,1
adapter256,2,D2Y498,pep,27,1
adapter256,2,D2Y4A0,pep,27,1
adapter256,2,D2Y4A1,pep,27,1
adapter256,2,D2Y4A2,pep,28,0
adapter256,2,D3JWK3,pep,47,0
adapter256,2,D3JWK4,pep,47,0
adapter256,2,D3JWK5,pep,47,0
adapter256,2,D3JWK6,pep,45,0
adapter256,2,D4ATC3,propep,33,1
adapter256,2,D4HRK4,pep,16,1
adapter256,2,D4HRK4,propep,24,1
adapter256,2,D4HRK7,pep,14,0
adapter256,2,D5KXG5,pep,35,0
adapter256,2,D5KXG5,propep,14,0
adapter256,2,D5LGE0,pep,11,0
adapter256,2,D5LGE0,pep,11,0
adapter256,2,D5LGE0,pep,11,0
adapter256,2,D5LGE0,propep,26,0
adapter256,2,D5LGE0,propep,31,0
adapter256,2,D6C4H5,pep,11,0
adapter256,2,D6C4H5,propep,29,0
adapter256,2,D6C4J4,pep,21,1
adapter256,2,D6C4J4,propep,16,0
adapter256,2,D6C4J8,pep,23,1
adapter256,2,D6C4J8,propep,25,1
adapter256,2,D6C4J8,propep,5,1
adapter256,2,D6C4K5,pep,38,1
adapter256,2,D6C4K5,propep,18,1
adapter256,2,D9IWN6,pep,22,1
adapter256,2,D9IWN6,propep,19,1
adapter256,2,D9IWN7,pep,22,1
adapter256,2,D9IWN7,propep,19,1
adapter256,2,D9U2A7,propep,8,0
adapter256,2,E1ZVK3,pep,14,0
adapter256,2,E1ZVK3,pep,11,1
adapter256,2,E1ZVK3,pep,14,1
adapter256,2,E1ZVK3,pep,9,0
adapter256,2,E1ZVK3,propep,6,0
adapter256,2,E2A6P1,pep,12,0
adapter256,2,E2AJ76,pep,8,1
adapter256,2,E2AJ76,propep,24,1
adapter256,2,E2ARW3,pep,11,1
adapter256,2,E2AX35,pep,12,0
adapter256,2,E2AZE8,pep,31,1
adapter256,2,E2AZE8,propep,40,1
adapter256,2,E2AZE8,propep,5,1
adapter256,2,E2DIH5,pep,16,1
adapter256,2,E2DIH5,propep,25,1
adapter256,2,E2DIH6,pep,16,1
adapter256,2,E2DIH6,propep,22,1
adapter256,2,E4VP07,pep,13,1
adapter256,2,E4VP07,propep,31,1
adapter256,2,E5D3Z8,propep,5,1
adapter256,2,E9NW26,propep,18,0
adapter256,2,E9NW27,propep,18,0
adapter256,2,F1CJ89,pep,10,1
adapter256,2,F1DFM9,propep,45,1
adapter256,2,F1NV61,propep,24,1
adapter256,2,F1NV61,propep,11,0
adapter256,2,F4I082,propep,24,1
adapter256,2,F4JIG1,propep,27,1
adapter256,2,F8S122,propep,8,0
adapter256,2,G0R947,propep,32,1
adapter256,2,G0RUP7,propep,14,1
adapter256,2,H2CYR5,pep,13,1
adapter256,2,H2CYR5,propep,29,1
adapter256,2,H7C8I3,pep,20,1
adapter256,2,H7C8I3,propep,26,1
adapter256,2,I0DEB3,pep,13,1
adapter256,2,I0DEB3,propep,29,1
adapter256,2,I0DEB4,pep,13,1
adapter256,2,I0DEB4,propep,30,1
adapter256,2,I0DEB5,pep,13,1
adapter256,2,I0DEB5,propep,29,1
adapter256,2,I0DEB6,pep,13,1
adapter256,2,I0DEB6,propep,29,1
adapter256,2,I2DBY1,propep,39,1
adapter256,2,I2DBY2,propep,39,0
adapter256,2,I2DBY3,propep,42,0
adapter256,2,I6R1R5,propep,22,0
adapter256,2,J9VS02,propep,34,0
adapter256,2,K1XVG1,propep,24,1
adapter256,2,K8DWB5,pep,15,1
adapter256,2,K9USW8,pep,16,0
adapter256,2,L0GAZ8,pep,13,1
adapter256,2,L0GAZ8,propep,29,1
adapter256,2,L0GCV8,pep,14,1
adapter256,2,L0GCV8,propep,39,1
adapter256,2,O01382,propep,28,0
adapter256,2,O01382,propep,13,0
adapter256,2,O02002,propep,33,0
adapter256,2,O02002,propep,13,0
adapter256,2,O08524,propep,24,1
adapter256,2,O08738,propep,5,1
adapter256,2,O08738,propep,13,0
adapter256,2,O13318,propep,29,1
adapter256,2,O13547,propep,21,1
adapter256,2,O13692,propep,25,1
adapter256,2,O15130,pep,11,1
adapter256,2,O15130,pep,18,0
adapter256,2,O15130,propep,45,1
adapter256,2,O15130,propep,14,0
adapter256,2,O18494,pep,31,0
adapter256,2,O18494,propep,26,1
adapter256,2,O18495,pep,32,0
adapter256,2,O18495,propep,26,1
adapter256,2,O18496,pep,32,0
adapter256,2,O18496,propep,26,1
adapter256,2,O24565,pep,12,1
adapter256,2,O24567,pep,12,0
adapter256,2,O24572,pep,12,1
adapter256,2,O24602,pep,12,1
adapter256,2,O24618,pep,12,1
adapter256,2,O31840,pep,5,1
adapter256,2,O31840,propep,34,1
adapter256,2,O32025,pep,5,0
adapter256,2,O32025,propep,30,0
adapter256,2,O32025,propep,9,0
adapter256,2,O32295,pep,5,1
adapter256,2,O32295,propep,33,1
