model,fold,protein,tp0,tp1,tp2,tp3,fn0,fn1,fn2,fn3,fp0,fp1,fp2,fp3
adapter256_seqonly,2,A0A059UI30,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,A0A068B0Z6,0,1,1,1,1,0,0,0,1,0,0,0
adapter256_seqonly,2,A0A068B409,0,0,0,0,1,1,1,1,2,2,2,2
adapter256_seqonly,2,A0A068B6Q6,0,1,1,1,1,0,0,0,2,1,1,1
adapter256_seqonly,2,A0A077DF94,0,0,0,0,3,3,3,3,2,2,2,2
adapter256_seqonly,2,A0A0C4G4L1,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A0A0D4WTV1,0,0,1,1,1,1,0,0,1,1,0,0
adapter256_seqonly,2,A0A0P0UTI6,8,8,8,9,1,1,1,0,1,1,1,0
adapter256_seqonly,2,A0A0P0UTQ7,0,1,1,2,3,2,2,1,4,3,3,2
adapter256_seqonly,2,A0A0R4IKU3,0,1,1,1,1,0,0,0,1,0,0,0
adapter256_seqonly,2,A0A125S9E1,0,0,0,0,2,2,2,2,1,1,1,1
adapter256_seqonly,2,A0A125S9G2,0,0,0,0,2,2,2,2,2,2,2,2
adapter256_seqonly,2,A0A139GI49,1,3,5,5,6,4,2,2,4,2,0,0
adapter256_seqonly,2,A0A144LVM3,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,A0A1D5PPP7,1,1,1,1,1,1,1,1,1,1,1,1
adapter256_seqonly,2,A0A1D5PUP4,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,A0A1S6EK91,0,0,1,1,2,2,1,1,1,1,0,0
adapter256_seqonly,2,A0A2I8B352,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,A0A318,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,A0A348G5V8,1,2,2,2,1,0,0,0,1,0,0,0
adapter256_seqonly,2,A0A348G5V9,1,2,2,2,1,0,0,0,1,0,0,0
adapter256_seqonly,2,A0A348G5W0,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A0A348G5W2,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A0A348G6I7,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A0A348G6I9,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A0A348G6J1,1,1,1,1,1,1,1,1,1,1,1,1
adapter256_seqonly,2,A0A3G3C7R5,1,1,2,2,1,1,0,0,1,1,0,0
adapter256_seqonly,2,A0A3G3C7S0,0,2,2,2,2,0,0,0,2,0,0,0
adapter256_seqonly,2,A0A3G3C7S2,1,1,1,1,1,1,1,1,1,1,1,1
adapter256_seqonly,2,A0A3G3C7S9,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A0A3G3C7U4,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A0A3G3C7V0,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A0A3G6IHA6,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A0A6G9KHD1,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A0A6G9KHD6,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A0A6G9KHE4,1,1,1,1,0,0,0,0,1,1,1,1
adapter256_seqonly,2,A0A6G9KIR5,1,2,2,2,1,0,0,0,1,0,0,0
adapter256_seqonly,2,A0A6G9KJK9,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A0A6G9KJV6,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A0A6M3Z4D9,1,1,1,1,1,1,1,1,1,1,1,1
adapter256_seqonly,2,A0A6M3Z4R1,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A0A6M3Z4R4,1,1,1,2,1,1,1,0,1,1,1,0
adapter256_seqonly,2,A0A8U0LTF0,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A0A8U0LTY4,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A0A976XKR0,0,0,1,1,1,1,0,0,1,1,0,0
adapter256_seqonly,2,A0SE59,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A0SE60,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A0T099,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A0T0S8,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A0ZZ18,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,A1E9Q7,1,1,1,1,0,0,0,0,1,1,1,1
adapter256_seqonly,2,A1E9Z1,0,0,0,0,1,1,1,1,1,1,1,1
adapter256_seqonly,2,A1R6Q7,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A1SK13,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A1X8B8,1,2,2,2,1,0,0,0,1,0,0,0
adapter256_seqonly,2,A1X8B9,1,1,2,2,1,1,0,0,1,1,0,0
adapter256_seqonly,2,A1X8C2,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A1X8C3,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A1X8C6,0,0,0,0,1,1,1,1,1,1,1,1
adapter256_seqonly,2,A1X8D0,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A1X8D8,0,1,1,1,1,0,0,0,2,1,1,1
adapter256_seqonly,2,A1X8D9,0,1,1,1,1,0,0,0,2,1,1,1
adapter256_seqonly,2,A2BP71,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A2BUQ3,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A2C0A5,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A2CCL2,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A3DT44,0,0,0,0,1,1,1,1,1,1,1,1
adapter256_seqonly,2,A3PAZ3,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A4USB4,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A4X3P0,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A5GIE8,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A5GWF4,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A5LHX3,0,1,1,1,1,0,0,0,1,0,0,0
adapter256_seqonly,2,A6LHQ9,0,0,0,0,1,1,1,1,1,1,1,1
adapter256_seqonly,2,A6M934,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A6M938,0,1,1,1,1,0,0,0,2,1,1,1
adapter256_seqonly,2,A6MFK7,0,1,2,2,2,1,0,0,2,1,0,0
adapter256_seqonly,2,A6MFK8,0,1,2,2,2,1,0,0,2,1,0,0
adapter256_seqonly,2,A6P331,0,0,0,0,1,1,1,1,2,2,2,2
adapter256_seqonly,2,A6YRN9,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,A6ZL22,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A6ZY20,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A7GT16,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,A7SRR3,0,0,0,1,1,1,1,0,2,2,2,1
adapter256_seqonly,2,A7Z6W8,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,A8FFD9,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,A8G2T2,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A9VHU8,0,0,0,0,1,1,1,1,0,0,0,0
adapter256_seqonly,2,A9XDG0,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A9XDG1,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A9XDG2,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,A9XDG3,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,B0BK71,0,0,0,0,1,1,1,1,1,1,1,1
adapter256_seqonly,2,B0BK72,0,0,0,0,1,1,1,1,1,1,1,1
adapter256_seqonly,2,B0JSW8,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,B0XT09,0,0,0,1,1,1,1,0,1,1,1,0
adapter256_seqonly,2,B0XT72,0,1,1,1,1,0,0,0,2,1,1,1
adapter256_seqonly,2,B0XVI5,0,0,0,0,1,1,1,1,1,1,1,1
adapter256_seqonly,2,B0Y8H9,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,B1P1H5,2,2,2,2,0,0,0,0,0,0,0,0
adapter256_seqonly,2,B1WUL2,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,B1XMN4,1,1,1,1,0,0,0,0,0,0,0,0
adapter256_seqonly,2,B2CJ57,1,1,8,8,7,7,0,0,8,8,1,1
adapter256_seqonly,2,B2J4T9,1,1,1,1,0,0,0,0,0,0,0,0
