run,protein_id,organism,task,kind,length,matched
train_run_esm2_aft_single_gated,Q99109,Ustilago maydis,peptides,true,34,False
train_run_esm2_aft_single_gated,Q99109,Ustilago maydis,peptides,true,36,False
train_run_esm2_aft_single_gated,Q99109,Ustilago maydis,peptides,true,35,False
train_run_esm2_aft_single_gated,Q99109,Ustilago maydis,peptides,true,34,False
train_run_esm2_aft_single_gated,Q99109,Ustilago maydis,peptides,true,35,False
train_run_esm2_aft_single_gated,Q99109,Ustilago maydis,peptides,true,45,False
train_run_esm2_aft_single_gated,Q99109,Ustilago maydis,peptides,true,34,False
train_run_esm2_aft_single_gated,Q99109,Ustilago maydis,peptides,true,35,False
train_run_esm2_aft_single_gated,Q99109,Ustilago maydis,peptides,true,35,False
train_run_esm2_aft_single_gated,Q86UU9,Homo sapiens,peptides,true,47,True
train_run_esm2_aft_single_gated,Q86UU9,Homo sapiens,peptides,true,14,True
train_run_esm2_aft_single_gated,Q86UU9,Homo sapiens,propeptides,true,9,False
train_run_esm2_aft_single_gated,Q86UU9,Homo sapiens,propeptides,true,16,True
train_run_esm2_aft_single_gated,Q86UU9,Homo sapiens,propeptides,fp_pred,5,False
train_run_esm2_aft_single_gated,G0W2H8,Bunodosoma granuliferum,propeptides,true,8,True
train_run_esm2_aft_single_gated,G0W2H9,Bunodosoma granuliferum,peptides,fp_pred,43,False
train_run_esm2_aft_single_gated,G0W2H9,Bunodosoma granuliferum,propeptides,true,8,True
train_run_esm2_aft_single_gated,P26738,Bombyx mori,peptides,true,26,True
train_run_esm2_aft_single_gated,P26738,Bombyx mori,peptides,true,21,True
train_run_esm2_aft_single_gated,P26738,Bombyx mori,propeptides,true,19,True
train_run_esm2_aft_single_gated,D2DGD4,Conus caracteristicus,peptides,true,34,True
train_run_esm2_aft_single_gated,D2DGD4,Conus caracteristicus,propeptides,true,23,True
train_run_esm2_aft_single_gated,Q86YL7,Homo sapiens,peptides,true,12,False
train_run_esm2_aft_single_gated,Q86YL7,Homo sapiens,propeptides,fp_pred,7,False
train_run_esm2_aft_single_gated,P53872,Saccharomyces cerevisiae,propeptides,true,30,True
train_run_esm2_aft_single_gated,Q5A5K7,Candida albicans,propeptides,true,29,False
train_run_esm2_aft_single_gated,Q5A5K7,Candida albicans,propeptides,fp_pred,8,False
train_run_esm2_aft_single_gated,Q5A5K7,Candida albicans,propeptides,fp_pred,18,False
train_run_esm2_aft_single_gated,Q59Y11,Candida albicans,propeptides,true,26,True
train_run_esm2_aft_single_gated,P52718,Aspergillus niger,propeptides,true,27,True
train_run_esm2_aft_single_gated,Q5ABW2,Candida albicans,propeptides,true,22,True
train_run_esm2_aft_single_gated,P13696,Bos taurus,peptides,true,11,False
train_run_esm2_aft_single_gated,P13696,Bos taurus,propeptides,fp_pred,5,False
train_run_esm2_aft_single_gated,Q3YIX4,Canis lupus familiaris,peptides,true,12,False
train_run_esm2_aft_single_gated,Q3YIX4,Canis lupus familiaris,propeptides,fp_pred,5,False
train_run_esm2_aft_single_gated,P30086,Homo sapiens,peptides,true,11,False
train_run_esm2_aft_single_gated,P30086,Homo sapiens,propeptides,fp_pred,5,False
train_run_esm2_aft_single_gated,P48737,Macaca fascicularis,peptides,true,12,False
train_run_esm2_aft_single_gated,P48737,Macaca fascicularis,propeptides,fp_pred,5,False
train_run_esm2_aft_single_gated,P70296,Mus musculus,peptides,true,11,False
train_run_esm2_aft_single_gated,P70296,Mus musculus,propeptides,fp_pred,7,False
train_run_esm2_aft_single_gated,Q5R4R0,Pongo abelii,peptides,true,12,False
train_run_esm2_aft_single_gated,Q5R4R0,Pongo abelii,propeptides,fp_pred,5,False
train_run_esm2_aft_single_gated,Q8MK67,Oryctolagus cuniculus,peptides,true,12,False
train_run_esm2_aft_single_gated,Q8MK67,Oryctolagus cuniculus,propeptides,fp_pred,5,False
train_run_esm2_aft_single_gated,P31044,Rattus norvegicus,peptides,true,11,False
train_run_esm2_aft_single_gated,P31044,Rattus norvegicus,propeptides,fp_pred,7,False
train_run_esm2_aft_single_gated,P52719,Aspergillus phoenicis,propeptides,true,34,False
train_run_esm2_aft_single_gated,P52719,Aspergillus phoenicis,propeptides,fp_pred,28,False
train_run_esm2_aft_single_gated,Q9FZ54,Arabidopsis thaliana,peptides,true,15,False
train_run_esm2_aft_single_gated,Q9FZ54,Arabidopsis thaliana,peptides,fp_pred,13,False
train_run_esm2_aft_single_gated,Q9FZ54,Arabidopsis thaliana,peptides,fp_pred,9,False
train_run_esm2_aft_single_gated,Q9FZ54,Arabidopsis thaliana,propeptides,fp_pred,20,False
train_run_esm2_aft_single_gated,Q9FZ54,Arabidopsis thaliana,propeptides,fp_pred,24,False
train_run_esm2_aft_single_gated,Q52K95,Arabidopsis thaliana,peptides,true,15,True
train_run_esm2_aft_single_gated,Q52K95,Arabidopsis thaliana,peptides,fp_pred,6,False
train_run_esm2_aft_single_gated,Q52K95,Arabidopsis thaliana,propeptides,fp_pred,22,False
train_run_esm2_aft_single_gated,P69560,Spinacia oleracea,propeptides,true,9,False
train_run_esm2_aft_single_gated,P69560,Spinacia oleracea,propeptides,fp_pred,10,False
train_run_esm2_aft_single_gated,P32036,Cuscuta reflexa,propeptides,true,9,False
train_run_esm2_aft_single_gated,P32036,Cuscuta reflexa,propeptides,fp_pred,10,False
train_run_esm2_aft_single_gated,O18495,Styela clava,peptides,true,32,False
train_run_esm2_aft_single_gated,O18495,Styela clava,propeptides,true,26,False
