run,protein_id,organism,task,kind,length,matched
esm2_aho_emission_fusion,Q99109,Ustilago maydis,peptides,true,34,False
esm2_aho_emission_fusion,Q99109,Ustilago maydis,peptides,true,36,False
esm2_aho_emission_fusion,Q99109,Ustilago maydis,peptides,true,35,False
esm2_aho_emission_fusion,Q99109,Ustilago maydis,peptides,true,34,False
esm2_aho_emission_fusion,Q99109,Ustilago maydis,peptides,true,35,False
esm2_aho_emission_fusion,Q99109,Ustilago maydis,peptides,true,45,False
esm2_aho_emission_fusion,Q99109,Ustilago maydis,peptides,true,34,False
esm2_aho_emission_fusion,Q99109,Ustilago maydis,peptides,true,35,False
esm2_aho_emission_fusion,Q99109,Ustilago maydis,peptides,true,35,False
esm2_aho_emission_fusion,Q99109,Ustilago maydis,propeptides,fp_pred,5,False
esm2_aho_emission_fusion,Q99109,Ustilago maydis,propeptides,fp_pred,5,False
esm2_aho_emission_fusion,Q86UU9,Homo sapiens,peptides,true,47,True
esm2_aho_emission_fusion,Q86UU9,Homo sapiens,peptides,true,14,True
esm2_aho_emission_fusion,Q86UU9,Homo sapiens,propeptides,true,9,False
esm2_aho_emission_fusion,Q86UU9,Homo sapiens,propeptides,true,16,True
esm2_aho_emission_fusion,G0W2H8,Bunodosoma granuliferum,propeptides,true,8,True
esm2_aho_emission_fusion,G0W2H9,Bunodosoma granuliferum,propeptides,true,8,True
esm2_aho_emission_fusion,P26738,Bombyx mori,peptides,true,26,True
esm2_aho_emission_fusion,P26738,Bombyx mori,peptides,true,21,True
esm2_aho_emission_fusion,P26738,Bombyx mori,propeptides,true,19,True
esm2_aho_emission_fusion,D2DGD4,Conus caracteristicus,peptides,true,34,False
esm2_aho_emission_fusion,D2DGD4,Conus caracteristicus,peptides,fp_pred,21,False
esm2_aho_emission_fusion,D2DGD4,Conus caracteristicus,propeptides,true,23,True
esm2_aho_emission_fusion,P01327,Chinchilla chinchilla,peptides,true,30,False
esm2_aho_emission_fusion,P01327,Chinchilla chinchilla,peptides,true,21,True
esm2_aho_emission_fusion,P01327,Chinchilla chinchilla,propeptides,true,31,False
esm2_aho_emission_fusion,Q86YL7,Homo sapiens,peptides,true,12,False
esm2_aho_emission_fusion,P53872,Saccharomyces cerevisiae,propeptides,true,30,True
esm2_aho_emission_fusion,Q5A5K7,Candida albicans,propeptides,true,29,True
esm2_aho_emission_fusion,Q59Y11,Candida albicans,propeptides,true,26,True
