protein_id,motif_cluster
A0A023IWD9,7
A0A023IWE0,7
A0A023IWE1,7
A0A023IWE2,7
A0A023IWE3,7
A0A023IWG1,7
A0A023IWG2,7
A0A023IWG3,7
A0A023IWG4,7
A0A023IWI4,7
A0A023IWI5,7
A0A023IWI6,7
A0A023IWI8,7
A0A023IWK3,7
A0A023IWK4,7
A0A023IWK5,7
A0A023IWK6,7
A0A023IWK7,7
A0A023IWM4,7
A0A023IWM5,7
A0A023IWM6,7
A0A023IWM7,7
A0A023IWM8,7
A0A023UA23,40
A0A023UBA8,40
A0A023UBX6,40
A0A023UBY3,40
A0A023UCA6,7
A0A023UCC1,40
A0A023VZF1,34
A0A023VZM6,34
A0A023W082,34
A0A023W090,34
A0A023W0B6,11
A0A023W0C3,11
A0A023W0U0,34
A0A023W0V9,13
A0A023W0W9,13
A0A023W123,34
A0A023W140,13
A0A023W145,13
A0A023W157,11
A0A023W163,11
A0A023W168,13
A0A024SC78,31
A0A024SH76,31
A0A024SIB3,31
A0A059J5P2,31
A0A059T2H4,49
A0A059U8Y9,11
A0A059UI21,46
A0A059UI30,49
A0A067SLB9,7
A0A068B0Z6,13
A0A068B409,40
A0A068B6Q6,39
A0A072TRR8,11
A0A072UTP9,34
A0A072V9Z0,11
A0A077DF94,1
A0A084G2W8,46
A0A088BP94,49
A0A088MI62,8
A0A088MIT0,13
A0A088SG62,34
A0A090CRQ9,2
A0A096P2H4,17
A0A096ZEC9,7
A0A0A0V633,49
A0A0A0V662,49
A0A0A0VBR5,49
A0A0A0VBX4,46
A0A0A1I6E7,35
A0A0A1I6N9,35
A0A0A7DNP6,24
A0A0B4JDK1,28
A0A0B5A7M7,34
A0A0B5A7N1,17
A0A0B5A7N5,17
A0A0B5A7N8,34
A0A0B5A7P2,28
A0A0B5A8P4,28
A0A0B5A8P8,17
A0A0B5A8Q2,28
A0A0B5A8Q6,34
A0A0B5ABD5,13
A0A0B5ABD9,34
A0A0B5ABE4,17
A0A0B5ABE6,17
A0A0B5AC86,28
A0A0B5AC90,15
A0A0B5AC95,28
A0A0B5AC98,17
A0A0B5ADT3,34
A0A0B5ADT9,17
A0A0B5ADU4,15
A0A0B5ADV0,34
A0A0C3RR82,29
A0A0C4G489,40
A0A0C4G4L1,35
A0A0C4G5K0,24
A0A0D1CKI0,19
A0A0D1DPX0,19
A0A0D4WTV1,34
A0A0E3SVB8,34
A0A0E3SVE7,34
A0A0F6QDA5,12
A0A0F7YYV0,28
A0A0F7YZQ7,24
A0A0G2K7V7,40
A0A0G3F8Z3,37
A0A0H3H546,20
A0A0K1YW63,40
A0A0K8TU78,39
A0A0K8TUE2,34
A0A0N7CSQ4,39
A0A0N7FMT9,35
A0A0N7KBN8,48
A0A0N9LWM6,11
A0A0P0UTI6,29
A0A0P0UTJ1,39
A0A0P0UTQ7,11
A0A0R4IKU3,2
A0A125S9D8,46
A0A125S9D9,49
A0A125S9E0,37
A0A125S9E1,24
A0A125S9E2,40
A0A125S9E4,46
A0A125S9E5,46
A0A125S9E6,48
A0A125S9E9,46
A0A125S9F0,46
A0A125S9F2,49
A0A125S9F3,49
A0A125S9F6,13
A0A125S9F9,40
A0A125S9G0,14
A0A125S9G2,48
A0A125S9G3,48
A0A139GI49,29
A0A141TBR6,46
A0A142C197,40
A0A142I730,29
A0A144LUY5,34
A0A144LVL3,34
A0A144LVM3,49
A0A146F0J0,31
A0A193H2U2,13
A0A193H2X2,13
A0A193H327,13
A0A193H329,8
A0A193H356,48
A0A193H361,8
A0A193H362,8
A0A193H365,8
A0A193H395,8
A0A193H396,8
A0A193H397,8
A0A1B0GVD1,40
A0A1B7XV12,11
A0A1D0BN92,49
A0A1D0BNA3,37
A0A1D0BR67,31
A0A1D0BRB0,37
A0A1D0BRC1,42
A0A1D0BZF5,31
A0A1D0BZI2,35
A0A1D0C0W1,49
A0A1D3IXJ5,35
A0A1D3IXR7,11
A0A1D3IY23,34
