run,protein_id,organism,task,kind,length,matched
train_run_esm2,Q99109,Ustilago maydis,peptides,true,34,False
train_run_esm2,Q99109,Ustilago maydis,peptides,true,36,False
train_run_esm2,Q99109,Ustilago maydis,peptides,true,35,False
train_run_esm2,Q99109,Ustilago maydis,peptides,true,34,False
train_run_esm2,Q99109,Ustilago maydis,peptides,true,35,False
train_run_esm2,Q99109,Ustilago maydis,peptides,true,45,False
train_run_esm2,Q99109,Ustilago maydis,peptides,true,34,False
train_run_esm2,Q99109,Ustilago maydis,peptides,true,35,False
train_run_esm2,Q99109,Ustilago maydis,peptides,true,35,False
train_run_esm2,Q99109,Ustilago maydis,propeptides,fp_pred,36,False
train_run_esm2,Q86UU9,Homo sapiens,peptides,true,47,True
train_run_esm2,Q86UU9,Homo sapiens,peptides,true,14,False
train_run_esm2,Q86UU9,Homo sapiens,peptides,fp_pred,25,False
train_run_esm2,Q86UU9,Homo sapiens,propeptides,true,9,False
train_run_esm2,Q86UU9,Homo sapiens,propeptides,true,16,True
train_run_esm2,G0W2H8,Bunodosoma granuliferum,propeptides,true,8,True
train_run_esm2,G0W2H9,Bunodosoma granuliferum,peptides,fp_pred,43,False
train_run_esm2,G0W2H9,Bunodosoma granuliferum,propeptides,true,8,True
train_run_esm2,P26738,Bombyx mori,peptides,true,26,True
train_run_esm2,P26738,Bombyx mori,peptides,true,21,True
train_run_esm2,P26738,Bombyx mori,propeptides,true,19,True
train_run_esm2,D2DGD4,Conus caracteristicus,peptides,true,34,True
train_run_esm2,D2DGD4,Conus caracteristicus,propeptides,true,23,True
train_run_esm2,P01327,Chinchilla chinchilla,peptides,true,30,False
train_run_esm2,P01327,Chinchilla chinchilla,peptides,true,21,True
train_run_esm2,P01327,Chinchilla chinchilla,peptides,fp_pred,26,False
train_run_esm2,P01327,Chinchilla chinchilla,propeptides,true,31,False
train_run_esm2,Q86YL7,Homo sapiens,peptides,true,12,False
train_run_esm2,P53872,Saccharomyces cerevisiae,propeptides,true,30,True
train_run_esm2,Q5A5K7,Candida albicans,propeptides,true,29,False
train_run_esm2,Q5A5K7,Candida albicans,propeptides,fp_pred,8,False
train_run_esm2,Q5A5K7,Candida albicans,propeptides,fp_pred,18,False
train_run_esm2,Q59Y11,Candida albicans,propeptides,true,26,True
train_run_esm2,P52718,Aspergillus niger,propeptides,true,27,True
train_run_esm2,Q5ABW2,Candida albicans,propeptides,true,22,True
train_run_esm2,P13696,Bos taurus,peptides,true,11,False
train_run_esm2,P13696,Bos taurus,propeptides,fp_pred,7,False
train_run_esm2,Q3YIX4,Canis lupus familiaris,peptides,true,12,False
