model,fold,protein,task,length,genus,new,m0,m1,m2,m3
baseline_esm2,2,A0A059UI30,propep,8,Mesobuthus,False,0,0,0,0
baseline_esm2,2,A0A068B0Z6,pep,16,Conus,True,0,1,1,1
baseline_esm2,2,A0A068B409,pep,22,Conus,True,0,0,0,0
baseline_esm2,2,A0A068B6Q6,pep,16,Conus,True,0,0,0,0
baseline_esm2,2,A0A077DF94,pep,14,Danio,True,0,0,0,0
baseline_esm2,2,A0A077DF94,propep,8,Danio,True,0,0,0,0
baseline_esm2,2,A0A077DF94,propep,26,Danio,True,0,0,0,1
baseline_esm2,2,A0A0C4G4L1,pep,13,Heterometrus,False,0,1,1,1
baseline_esm2,2,A0A0C4G4L1,propep,28,Heterometrus,False,1,1,1,1
baseline_esm2,2,A0A0D4WTV1,propep,9,Loxosceles,True,0,0,0,0
baseline_esm2,2,A0A0P0UTI6,pep,27,Heteractis,True,0,0,0,1
baseline_esm2,2,A0A0P0UTI6,pep,27,Heteractis,True,0,0,0,1
baseline_esm2,2,A0A0P0UTI6,pep,27,Heteractis,True,0,0,0,1
baseline_esm2,2,A0A0P0UTI6,pep,27,Heteractis,True,0,0,0,0
baseline_esm2,2,A0A0P0UTI6,propep,15,Heteractis,True,0,0,0,1
baseline_esm2,2,A0A0P0UTI6,propep,7,Heteractis,True,0,0,0,1
baseline_esm2,2,A0A0P0UTI6,propep,7,Heteractis,True,0,0,0,1
baseline_esm2,2,A0A0P0UTI6,propep,7,Heteractis,True,0,0,0,0
baseline_esm2,2,A0A0P0UTI6,propep,12,Heteractis,True,1,1,1,1
baseline_esm2,2,A0A0P0UTQ7,pep,28,Heteractis,True,0,0,0,1
baseline_esm2,2,A0A0P0UTQ7,pep,28,Heteractis,True,0,0,0,0
baseline_esm2,2,A0A0P0UTQ7,propep,11,Heteractis,True,0,1,1,1
baseline_esm2,2,A0A0R4IKU3,propep,24,Danio,False,0,1,1,1
baseline_esm2,2,A0A125S9E1,pep,13,Conus,False,0,0,0,0
baseline_esm2,2,A0A125S9E1,propep,27,Conus,False,0,0,0,0
baseline_esm2,2,A0A125S9G2,pep,25,Conus,False,0,0,0,0
baseline_esm2,2,A0A125S9G2,propep,27,Conus,False,0,0,0,0
baseline_esm2,2,A0A139GI49,pep,11,Microcystis,False,0,1,1,1
baseline_esm2,2,A0A139GI49,pep,11,Microcystis,False,0,0,0,0
baseline_esm2,2,A0A139GI49,pep,11,Microcystis,False,0,0,0,0
baseline_esm2,2,A0A139GI49,propep,33,Microcystis,False,1,1,1,1
baseline_esm2,2,A0A139GI49,propep,7,Microcystis,False,0,1,1,1
baseline_esm2,2,A0A139GI49,propep,7,Microcystis,False,0,0,0,0
baseline_esm2,2,A0A139GI49,propep,7,Microcystis,False,0,0,1,1
baseline_esm2,2,A0A144LVM3,propep,16,Echinus,False,0,0,1,1
baseline_esm2,2,A0A1D5PPP7,propep,35,Gallus,False,0,0,0,0
baseline_esm2,2,A0A1D5PPP7,propep,13,Gallus,False,0,0,0,1
baseline_esm2,2,A0A1D5PUP4,propep,27,Gallus,False,1,1,1,1
baseline_esm2,2,A0A1S6EK91,pep,43,Moringa,False,0,0,0,0
baseline_esm2,2,A0A1S6EK91,propep,16,Moringa,False,0,0,1,1
baseline_esm2,2,A0A2I8B352,pep,47,Paralithodes,False,0,0,0,0
baseline_esm2,2,A0A318,propep,24,Coffea,False,0,0,0,0
baseline_esm2,2,A0A348G5V8,pep,33,Odontomachus,False,0,1,1,1
baseline_esm2,2,A0A348G5V8,propep,22,Odontomachus,False,1,1,1,1
baseline_esm2,2,A0A348G5V9,pep,40,Odontomachus,False,0,1,1,1
baseline_esm2,2,A0A348G5V9,propep,14,Odontomachus,False,1,1,1,1
baseline_esm2,2,A0A348G5W0,pep,29,Odontomachus,False,0,0,0,0
baseline_esm2,2,A0A348G5W0,propep,14,Odontomachus,False,0,0,0,0
baseline_esm2,2,A0A348G5W2,pep,36,Odontomachus,False,1,1,1,1
baseline_esm2,2,A0A348G5W2,propep,22,Odontomachus,False,0,0,0,0
baseline_esm2,2,A0A348G6I7,pep,17,Odontomachus,False,1,1,1,1
baseline_esm2,2,A0A348G6I7,propep,18,Odontomachus,False,1,1,1,1
baseline_esm2,2,A0A348G6I9,pep,29,Odontomachus,False,0,0,0,0
baseline_esm2,2,A0A348G6I9,propep,14,Odontomachus,False,0,0,0,0
baseline_esm2,2,A0A348G6J1,pep,25,Odontomachus,False,0,0,0,0
baseline_esm2,2,A0A348G6J1,propep,18,Odontomachus,False,0,0,0,0
baseline_esm2,2,A0A3G3C7R5,pep,11,Conus,False,0,0,0,1
baseline_esm2,2,A0A3G3C7R5,propep,27,Conus,False,1,1,1,1
baseline_esm2,2,A0A3G3C7S0,pep,18,Conus,False,0,1,1,1
baseline_esm2,2,A0A3G3C7S0,propep,25,Conus,False,0,1,1,1
baseline_esm2,2,A0A3G3C7S2,pep,15,Conus,False,0,0,0,1
baseline_esm2,2,A0A3G3C7S2,propep,27,Conus,False,0,0,0,1
baseline_esm2,2,A0A3G3C7S9,pep,16,Conus,False,0,1,1,1
baseline_esm2,2,A0A3G3C7S9,propep,23,Conus,False,0,0,0,0
baseline_esm2,2,A0A3G3C7U4,pep,17,Conus,False,0,1,1,1
baseline_esm2,2,A0A3G3C7U4,propep,23,Conus,False,0,0,0,0
baseline_esm2,2,A0A3G3C7V0,pep,16,Conus,False,0,1,1,1
