run,protein_id,organism,task,kind,length,matched
train_run_esm2+3di_proj,Q99109,Ustilago maydis,peptides,true,34,False
train_run_esm2+3di_proj,Q99109,Ustilago maydis,peptides,true,36,False
train_run_esm2+3di_proj,Q99109,Ustilago maydis,peptides,true,35,False
train_run_esm2+3di_proj,Q99109,Ustilago maydis,peptides,true,34,False
train_run_esm2+3di_proj,Q99109,Ustilago maydis,peptides,true,35,False
train_run_esm2+3di_proj,Q99109,Ustilago maydis,peptides,true,45,False
train_run_esm2+3di_proj,Q99109,Ustilago maydis,peptides,true,34,False
train_run_esm2+3di_proj,Q99109,Ustilago maydis,peptides,true,35,False
train_run_esm2+3di_proj,Q99109,Ustilago maydis,peptides,true,35,False
train_run_esm2+3di_proj,Q86UU9,Homo sapiens,peptides,true,47,True
train_run_esm2+3di_proj,Q86UU9,Homo sapiens,peptides,true,14,True
train_run_esm2+3di_proj,Q86UU9,Homo sapiens,propeptides,true,9,False
train_run_esm2+3di_proj,Q86UU9,Homo sapiens,propeptides,true,16,True
train_run_esm2+3di_proj,G0W2H8,Bunodosoma granuliferum,propeptides,true,8,True
train_run_esm2+3di_proj,G0W2H9,Bunodosoma granuliferum,peptides,fp_pred,43,False
train_run_esm2+3di_proj,G0W2H9,Bunodosoma granuliferum,propeptides,true,8,True
train_run_esm2+3di_proj,P26738,Bombyx mori,peptides,true,26,True
train_run_esm2+3di_proj,P26738,Bombyx mori,peptides,true,21,True
train_run_esm2+3di_proj,P26738,Bombyx mori,propeptides,true,19,True
train_run_esm2+3di_proj,D2DGD4,Conus caracteristicus,peptides,true,34,True
train_run_esm2+3di_proj,D2DGD4,Conus caracteristicus,propeptides,true,23,True
train_run_esm2+3di_proj,P01327,Chinchilla chinchilla,peptides,true,30,True
train_run_esm2+3di_proj,P01327,Chinchilla chinchilla,peptides,true,21,True
train_run_esm2+3di_proj,P01327,Chinchilla chinchilla,propeptides,true,31,True
train_run_esm2+3di_proj,Q86YL7,Homo sapiens,peptides,true,12,False
train_run_esm2+3di_proj,P53872,Saccharomyces cerevisiae,propeptides,true,30,True
train_run_esm2+3di_proj,Q5A5K7,Candida albicans,propeptides,true,29,False
train_run_esm2+3di_proj,Q5A5K7,Candida albicans,propeptides,fp_pred,18,False
train_run_esm2+3di_proj,Q59Y11,Candida albicans,propeptides,true,26,True
train_run_esm2+3di_proj,P52718,Aspergillus niger,propeptides,true,27,False
train_run_esm2+3di_proj,Q5ABW2,Candida albicans,propeptides,true,22,True
train_run_esm2+3di_proj,P13696,Bos taurus,peptides,true,11,False
train_run_esm2+3di_proj,Q3YIX4,Canis lupus familiaris,peptides,true,12,False
train_run_esm2+3di_proj,P30086,Homo sapiens,peptides,true,11,False
train_run_esm2+3di_proj,P30086,Homo sapiens,propeptides,fp_pred,5,False
train_run_esm2+3di_proj,P48737,Macaca fascicularis,peptides,true,12,False
train_run_esm2+3di_proj,P48737,Macaca fascicularis,propeptides,fp_pred,5,False
train_run_esm2+3di_proj,P70296,Mus musculus,peptides,true,11,False
train_run_esm2+3di_proj,P70296,Mus musculus,propeptides,fp_pred,5,False
train_run_esm2+3di_proj,Q5R4R0,Pongo abelii,peptides,true,12,False
train_run_esm2+3di_proj,Q5R4R0,Pongo abelii,propeptides,fp_pred,5,False
train_run_esm2+3di_proj,Q8MK67,Oryctolagus cuniculus,peptides,true,12,False
train_run_esm2+3di_proj,P31044,Rattus norvegicus,peptides,true,11,False
train_run_esm2+3di_proj,P31044,Rattus norvegicus,propeptides,fp_pred,5,False
train_run_esm2+3di_proj,P52719,Aspergillus phoenicis,propeptides,true,34,False
train_run_esm2+3di_proj,Q9FZ54,Arabidopsis thaliana,peptides,true,15,False
