model,fold,protein,task,tp,fn,fp
baseline_esm2,2,A0A059UI30,pep,0,0,1
baseline_esm2,2,A0A059UI30,propep,0,1,1
baseline_esm2,2,A0A068B0Z6,pep,1,0,0
baseline_esm2,2,A0A068B0Z6,propep,0,0,1
baseline_esm2,2,A0A068B409,pep,0,1,1
baseline_esm2,2,A0A068B409,propep,0,0,0
baseline_esm2,2,A0A068B6Q6,pep,0,1,1
baseline_esm2,2,A0A068B6Q6,propep,0,0,0
baseline_esm2,2,A0A077DF94,pep,0,1,1
baseline_esm2,2,A0A077DF94,propep,1,1,0
baseline_esm2,2,A0A0C4G4L1,pep,1,0,0
baseline_esm2,2,A0A0C4G4L1,propep,1,0,0
baseline_esm2,2,A0A0D4WTV1,pep,0,0,0
baseline_esm2,2,A0A0D4WTV1,propep,0,1,0
baseline_esm2,2,A0A0P0UTI6,pep,3,1,1
baseline_esm2,2,A0A0P0UTI6,propep,4,1,1
baseline_esm2,2,A0A0P0UTQ7,pep,1,1,1
baseline_esm2,2,A0A0P0UTQ7,propep,1,0,1
baseline_esm2,2,A0A0R4IKU3,pep,0,0,0
baseline_esm2,2,A0A0R4IKU3,propep,1,0,0
baseline_esm2,2,A0A125S9E1,pep,0,1,1
baseline_esm2,2,A0A125S9E1,propep,0,1,1
baseline_esm2,2,A0A125S9G2,pep,0,1,1
baseline_esm2,2,A0A125S9G2,propep,0,1,1
baseline_esm2,2,A0A139GI49,pep,1,2,1
baseline_esm2,2,A0A139GI49,propep,3,1,0
baseline_esm2,2,A0A144LVM3,pep,0,0,1
baseline_esm2,2,A0A144LVM3,propep,1,0,0
baseline_esm2,2,A0A1D5PPP7,pep,0,0,0
baseline_esm2,2,A0A1D5PPP7,propep,1,1,1
baseline_esm2,2,A0A1D5PUP4,pep,0,0,0
baseline_esm2,2,A0A1D5PUP4,propep,1,0,0
baseline_esm2,2,A0A1S6EK91,pep,0,1,1
baseline_esm2,2,A0A1S6EK91,propep,1,0,0
baseline_esm2,2,A0A2I8B352,pep,0,1,0
baseline_esm2,2,A0A2I8B352,propep,0,0,0
baseline_esm2,2,A0A318,pep,0,0,1
baseline_esm2,2,A0A318,propep,0,1,0
baseline_esm2,2,A0A348G5V8,pep,1,0,0
baseline_esm2,2,A0A348G5V8,propep,1,0,0
baseline_esm2,2,A0A348G5V9,pep,1,0,0
