tag,frac,n_train,fold,protein,tp3,fn3,fp3,tp0,fn0,fp0
baseline,40,2102,2,A0A059UI30,0,1,1,0,1,1
baseline,40,2102,2,A0A068B0Z6,1,0,1,0,1,2
baseline,40,2102,2,A0A068B409,0,1,1,0,1,1
baseline,40,2102,2,A0A068B6Q6,0,1,1,0,1,1
baseline,40,2102,2,A0A077DF94,1,2,1,0,3,2
baseline,40,2102,2,A0A0C4G4L1,2,0,0,1,1,1
baseline,40,2102,2,A0A0D4WTV1,0,1,0,0,1,0
baseline,40,2102,2,A0A0P0UTI6,9,0,0,0,9,9
baseline,40,2102,2,A0A0P0UTQ7,2,1,2,0,3,4
baseline,40,2102,2,A0A0R4IKU3,1,0,0,1,0,0
baseline,40,2102,2,A0A125S9E1,0,2,2,0,2,2
baseline,40,2102,2,A0A125S9G2,0,2,2,0,2,2
baseline,40,2102,2,A0A139GI49,2,5,1,0,7,3
baseline,40,2102,2,A0A144LVM3,1,0,1,0,1,2
baseline,40,2102,2,A0A1D5PPP7,1,1,1,0,2,2
baseline,40,2102,2,A0A1D5PUP4,1,0,0,1,0,0
baseline,40,2102,2,A0A1S6EK91,0,2,0,0,2,0
baseline,40,2102,2,A0A2I8B352,0,1,0,0,1,0
baseline,40,2102,2,A0A318,0,1,1,0,1,1
baseline,40,2102,2,A0A348G5V8,2,0,0,0,2,2
baseline,40,2102,2,A0A348G5V9,1,1,2,0,2,3
baseline,40,2102,2,A0A348G5W0,0,2,2,0,2,2
baseline,40,2102,2,A0A348G5W2,1,1,1,0,2,2
baseline,40,2102,2,A0A348G6I7,2,0,0,2,0,0
baseline,40,2102,2,A0A348G6I9,0,2,2,0,2,2
baseline,40,2102,2,A0A348G6J1,0,2,2,0,2,2
baseline,40,2102,2,A0A3G3C7R5,2,0,0,1,1,1
baseline,40,2102,2,A0A3G3C7S0,2,0,0,1,1,1
baseline,40,2102,2,A0A3G3C7S2,2,0,0,0,2,2
baseline,40,2102,2,A0A3G3C7S9,2,0,0,0,2,2
baseline,40,2102,2,A0A3G3C7U4,2,0,0,0,2,2
baseline,40,2102,2,A0A3G3C7V0,2,0,0,0,2,2
baseline,40,2102,2,A0A3G6IHA6,1,0,0,1,0,0
baseline,40,2102,2,A0A6G9KHD1,2,0,0,0,2,2
baseline,40,2102,2,A0A6G9KHD6,2,0,0,0,2,2
baseline,40,2102,2,A0A6G9KHE4,0,1,1,0,1,1
baseline,40,2102,2,A0A6G9KIR5,2,0,0,0,2,2
baseline,40,2102,2,A0A6G9KJK9,2,0,0,0,2,2
baseline,40,2102,2,A0A6G9KJV6,1,1,2,0,2,3
baseline,40,2102,2,A0A6M3Z4D9,1,1,1,0,2,2
baseline,40,2102,2,A0A6M3Z4R1,0,2,2,0,2,2
baseline,40,2102,2,A0A6M3Z4R4,0,2,1,0,2,1
baseline,40,2102,2,A0A8U0LTF0,1,1,0,0,2,1
baseline,40,2102,2,A0A8U0LTY4,0,2,2,0,2,2
baseline,40,2102,2,A0A976XKR0,1,0,0,0,1,1
baseline,40,2102,2,A0SE59,2,0,0,1,1,1
baseline,40,2102,2,A0SE60,2,0,0,1,1,1
baseline,40,2102,2,A0T099,0,1,1,0,1,1
baseline,40,2102,2,A0T0S8,0,1,1,0,1,1
baseline,40,2102,2,A0ZZ18,0,1,1,0,1,1
baseline,40,2102,2,A1E9Q7,0,1,2,0,1,2
baseline,40,2102,2,A1E9Z1,0,1,2,0,1,2
baseline,40,2102,2,A1R6Q7,1,0,0,1,0,0
baseline,40,2102,2,A1SK13,1,0,0,1,0,0
baseline,40,2102,2,A1X8B8,1,1,1,0,2,2
baseline,40,2102,2,A1X8B9,1,1,1,1,1,1
baseline,40,2102,2,A1X8C2,2,0,0,1,1,1
baseline,40,2102,2,A1X8C3,2,0,0,0,2,2
baseline,40,2102,2,A1X8C6,0,1,1,0,1,1
baseline,40,2102,2,A1X8D0,0,1,1,0,1,1
baseline,40,2102,2,A1X8D8,0,1,2,0,1,2
baseline,40,2102,2,A1X8D9,0,1,1,0,1,1
baseline,40,2102,2,A2BP71,0,1,1,0,1,1
baseline,40,2102,2,A2BUQ3,1,0,1,0,1,2
baseline,40,2102,2,A2C0A5,0,1,1,0,1,1
baseline,40,2102,2,A2CCL2,1,0,1,0,1,2
baseline,40,2102,2,A3DT44,0,1,2,0,1,2
baseline,40,2102,2,A3PAZ3,0,1,1,0,1,1
baseline,40,2102,2,A4USB4,0,1,0,0,1,0
baseline,40,2102,2,A4X3P0,1,0,0,1,0,0
baseline,40,2102,2,A5GIE8,1,0,1,0,1,2
baseline,40,2102,2,A5GWF4,1,0,0,0,1,1
baseline,40,2102,2,A5LHX3,1,0,1,0,1,2
baseline,40,2102,2,A6LHQ9,0,1,1,0,1,1
baseline,40,2102,2,A6M934,2,0,0,1,1,1
baseline,40,2102,2,A6M938,1,0,1,0,1,2
baseline,40,2102,2,A6MFK7,1,1,1,0,2,2
baseline,40,2102,2,A6MFK8,1,1,1,0,2,2
baseline,40,2102,2,A6P331,0,1,2,0,1,2
baseline,40,2102,2,A6YRN9,0,1,0,0,1,0
baseline,40,2102,2,A6ZL22,1,0,0,1,0,0
baseline,40,2102,2,A6ZY20,1,0,0,0,1,1
baseline,40,2102,2,A7GT16,0,1,1,0,1,1
baseline,40,2102,2,A7SRR3,1,0,0,0,1,1
baseline,40,2102,2,A7Z6W8,0,1,2,0,1,2
baseline,40,2102,2,A8FFD9,1,0,1,0,1,2
baseline,40,2102,2,A8G2T2,0,1,1,0,1,1
baseline,40,2102,2,A9VHU8,0,1,1,0,1,1
baseline,40,2102,2,A9XDG0,1,0,0,0,1,1
baseline,40,2102,2,A9XDG1,1,0,0,0,1,1
baseline,40,2102,2,A9XDG2,1,0,0,0,1,1
baseline,40,2102,2,A9XDG3,1,0,0,0,1,1
baseline,40,2102,2,B0BK71,1,0,0,0,1,1
baseline,40,2102,2,B0BK72,0,1,1,0,1,1
